BJD,Flux,Flux_unc
1711.3682359232396,152463.89,44.722683
1711.3696248150159,152381.62,44.717392
1711.3710137065593,152406.5,44.72638
1711.3724025983363,152370.38,44.712933
1711.3737914898807,152444.14,44.727486
1711.3751803814241,152416.27,44.716507
1711.3765692732004,152436.78,44.720306
1711.3779581647448,152479.94,44.724327
1711.3793470562896,152514.45,44.725857
1711.3807359478337,152476.47,44.70793
1711.38212483961,152426.19,44.717495
1711.3835137311542,152458.84,44.71459
1711.3849026226983,152459.16,44.716713
1711.386291514242,152538.45,44.740818
1711.3876804057854,152503.2,44.72421
1711.3890692973296,152447.23,44.717495
1711.390458188874,152561.69,44.737167
1711.391847080418,152523.8,44.742344
1711.3932359719622,152526.42,44.732315
1711.3946248632735,152542.28,44.73133
1711.3960137548177,152436.33,44.701626
1711.3974026463613,152520.06,44.727406
1711.3987915379048,152479.88,44.713364
1711.400180429216,152469.95,44.70662
1711.4015693207602,152557.97,44.720165
1711.4029582123046,152587.06,44.72376
1711.404347103616,152504.77,44.704983
1711.40573599516,152568.28,44.71089
1711.4071248864714,152672.6,44.72613
1711.408513778015,152532.7,44.71022
1711.4099026693257,152483.39,44.70798
1711.411291560637,152548.92,44.71647
1711.4126804521811,152549.02,44.70901
1711.4140693434917,152577.02,44.73436
1711.4154582348033,152514.83,44.711708
1711.416847126348,152558.88,44.727795
1711.4182360176594,152499.53,44.70772
1711.41962490897,152550.28,44.703556
1711.4210138002807,152770.1,44.7384
1711.4224026915922,152546.8,44.71267
1711.4237915829035,152458.69,44.69921
1711.4251804742141,152622.47,44.738026
1711.426569365525,152425.81,44.695515
1711.427958256837,152473.7,44.709484
1711.429347148149,152563.42,44.708385
1711.4307360394596,152553.45,44.72092
1711.4321249307702,152490.73,44.701794
1711.4335138220817,152486.48,44.711945
1711.4349027131602,152694.2,44.73111
1711.4362916044709,152643.42,44.73104
1711.4376804957815,152597.88,44.731884
1711.4390693868602,152670.28,44.733574
1711.4404582781722,152558.52,44.708874
1711.4418471694835,152576.27,44.71542
1711.4432360605613,152530.42,44.712013
1711.4446249518726,152514.25,44.7071
1711.4460138429513,152546.83,44.725365
1711.447402734262,152871.88,44.7716
1711.4487916253397,152552.17,44.706062
1711.4501805164184,152562.69,44.720844
1711.4515694077304,152546.64,44.719006
1711.4529582988089,152633.36,44.711853
1711.4543471898867,152520.89,44.72159
1711.455736081198,152573.47,44.69812
1711.4571249722765,152521.19,44.72464
1711.4585138633545,152643.25,44.721264
1711.4599027544323,152525.92,44.712578
1711.4612916455108,152568.33,44.716774
1711.4626805365895,152520.5,44.701553
1711.464069427668,152646.12,44.729244
1711.4654583187464,152590.58,44.71945
1711.466847209825,152530.88,44.712605
1711.4682361009034,152469.77,44.699715
1711.4696249919814,152556.12,44.729305
1711.4710138830592,152587.83,44.725536
1711.4724027741377,152478.84,44.708218
1711.4737916652161,152526.3,44.72287
1711.475180556294,152618.73,44.705566
1711.4765694471398,152601.95,44.713116
1711.477958338219,152526.03,44.7207
1711.4793472292974,152567.84,44.7377
1711.4807361203755,152530.42,44.719975
1711.4821250112204,152546.19,44.713154
1711.483513902299,152501.94,44.73492
1711.4849027931446,152540.92,44.725994
1711.4862916842224,152504.47,44.707558
1711.4876805750682,152526.08,44.721497
1711.4890694661474,152523.86,44.71107
1711.490458356993,152578.92,44.70782
1711.4918472480708,152419.08,44.71412
1711.4932361389158,152387.64,44.69538
1711.4946250297617,152405.4,44.686687
1711.4960139208401,152475.44,44.70788
1711.497402811685,152475.4,44.709908
1711.4987917025303,152495.62,44.72129
1711.5001805936095,152621.38,44.729343
1711.5015694844558,152482.12,44.720535
1711.5029583753008,152377.53,44.690075
1711.5043472661457,152466.0,44.71879
1711.5057361569916,152495.23,44.704464
1711.5071250478372,152539.7,44.728443
1711.5085139386822,152466.1,44.700462
1711.5099028295272,152250.66,44.675125
1711.511291720373,152157.05,44.654537
1711.5126806112194,152024.22,44.650326
1711.514069502065,151957.75,44.642815
1711.51545839291,151724.25,44.607124
1711.5168472837556,151640.86,44.60497
1711.5182361746015,151663.97,44.59338
1711.5196250654465,151599.83,44.58854
1711.5210139560586,151560.23,44.58307
1711.5224028469045,151454.84,44.569252
1711.5237917377501,151379.02,44.539062
1711.5251806285958,151440.86,44.5612
1711.5265695192086,151506.42,44.57614
1711.5279584100542,151512.77,44.58615
1711.5293473008999,151518.16,44.593014
1711.5307361915122,151420.95,44.554745
1711.5321250823572,151334.94,44.55272
1711.53351397297,151369.69,44.571274
1711.534902863816,151412.3,44.5499
1711.5362917544287,151459.3,44.584103
1711.5376806452743,151376.95,44.548786
1711.5390695358872,151224.02,44.51658
1711.5404584265,151384.48,44.5714
1711.5432362079573,151336.45,44.513092
1711.5460139894158,151317.0,44.55005
1711.547402880028,151407.22,44.531208
1711.548791770641,151425.5,44.56458
1711.5501806612544,151283.3,44.521828
1711.5515695521,151405.45,44.58484
