eclipser,tt,tt_err
KEPLER9b,2455111.925990,0.000500
KEPLER9b,2455131.172350,0.000495
KEPLER9b,2455150.429980,0.000540
KEPLER9b,2455169.682390,0.000580
KEPLER9b,2455188.945840,0.000585
KEPLER9b,2455208.203920,0.000525
KEPLER9b,2455227.475060,0.000580
KEPLER9b,2455246.737520,0.000585
KEPLER9b,2455266.014160,0.000610
KEPLER9b,2455285.282890,0.000545
KEPLER9b,2455304.564190,0.000545
KEPLER9b,2455323.835650,0.000610
KEPLER9b,2455343.118960,0.000590
KEPLER9b,2455362.393820,0.000715
KEPLER9b,2455381.679520,0.000605
KEPLER9b,2455400.956950,0.000560
KEPLER9b,2455420.240890,0.000580
KEPLER9b,2455439.519900,0.001450
KEPLER9b,2455458.803560,0.000840
KEPLER9b,2455478.078890,0.000580
KEPLER9b,2455497.360330,0.000605
KEPLER9b,2455516.635690,0.000575
KEPLER9b,2455535.909820,0.000525
KEPLER9b,2455574.451760,0.000615
KEPLER9b,2455593.723100,0.001950
KEPLER9b,2455612.982140,0.000770
KEPLER9b,2455632.243080,0.000555
KEPLER9b,2455651.497970,0.000590
KEPLER9b,2455670.752640,0.000695
KEPLER9b,2455690.001320,0.000605
KEPLER9b,2455709.249540,0.000560
KEPLER9b,2455728.491960,0.000535
KEPLER9b,2455747.731920,0.000705
KEPLER9b,2455766.967540,0.000650
KEPLER9b,2455786.204840,0.000580
KEPLER9b,2455805.432570,0.000555
KEPLER9b,2455824.663310,0.000570
KEPLER9b,2455843.889650,0.000490
KEPLER9b,2455863.114320,0.000625
KEPLER9b,2455882.337790,0.000505
KEPLER9b,2455901.560940,0.000550
KEPLER9b,2455920.780550,0.000515
KEPLER9b,2455940.003870,0.000570
KEPLER9b,2455978.442410,0.000590
KEPLER9b,2456016.880910,0.000575
KEPLER9b,2456036.098940,0.000720
KEPLER9b,2456055.318560,0.000595
KEPLER9b,2456074.538550,0.000610
KEPLER9b,2456093.757930,0.000600
KEPLER9b,2456112.977600,0.000565
KEPLER9b,2456132.196770,0.000550
KEPLER9b,2456151.417790,0.000630
KEPLER9b,2456170.636760,0.000440
KEPLER9b,2456189.860200,0.000555
KEPLER9b,2456209.080200,0.000530
KEPLER9b,2456228.302460,0.000705
KEPLER9b,2456266.743280,0.000515
KEPLER9b,2456285.966200,0.000510
KEPLER9b,2456305.190380,0.000900
KEPLER9b,2456324.410970,0.000565
KEPLER9b,2456343.633950,0.000520
KEPLER9b,2456362.858060,0.000535
KEPLER9b,2456382.084630,0.000680
KEPLER9c,2455125.264000,0.000985
KEPLER9c,2455164.182870,0.000845
KEPLER9c,2455203.072850,0.000735
KEPLER9c,2455241.929410,0.000740
KEPLER9c,2455280.765950,0.000710
KEPLER9c,2455319.578320,0.000700
KEPLER9c,2455358.377520,0.000715
KEPLER9c,2455397.169240,0.000885
KEPLER9c,2455435.958660,0.000755
KEPLER9c,2455474.753760,0.001020
KEPLER9c,2455513.561550,0.000720
KEPLER9c,2455552.386060,0.000930
KEPLER9c,2455591.236690,0.000830
KEPLER9c,2455630.113310,0.000825
KEPLER9c,2455669.022700,0.000805
KEPLER9c,2455746.935190,0.000740
KEPLER9c,2455785.935040,0.000720
KEPLER9c,2455824.960210,0.000845
KEPLER9c,2455864.000670,0.000675
KEPLER9c,2455903.054210,0.000920
KEPLER9c,2455942.116030,0.000790
KEPLER9c,2455981.184620,0.000790
KEPLER9c,2456020.258060,0.000765
KEPLER9c,2456059.331900,0.000740
KEPLER9c,2456098.404890,0.000735
KEPLER9c,2456137.478700,0.001020
KEPLER9c,2456176.553970,0.000760
KEPLER9c,2456215.627180,0.000665
KEPLER9c,2456254.696450,0.000785
KEPLER9c,2456293.767770,0.000680
KEPLER9c,2456332.834720,0.000745
KEPLER9c,2456371.902700,0.000725
