time,rv_abs,rv_rel,rv_err,rv_jit
2458912.7304280,2023.5,-41.5,10.1,104.0
2458917.7301462,1774.9,-290.1,11.7,104.0
2458925.5538544,1992.5,-72.5,26.5,104.0
2458925.5970903,1869.9,-195.1,11.3,104.0
2459189.7431016,2247.1,182.1,10.0,104.0
2459192.7143168,2255.4,190.4,14.5,104.0
2459207.7670343,2210.2,145.2,10.6,104.0
2459211.7211734,2228.6,163.6,10.9,104.0
2459218.7262622,2038.1,-26.9,10.0,104.0
2459260.6382415,1877.8,-187.2,12.0,104.0
2459272.7769050,2081.6,16.6,13.4,104.0
2459274.7161730,2224.5,159.5,10.6,104.0
2459276.7156498,2134.9,69.9,12.9,104.0
2459282.5358342,2267.5,202.5,10.6,104.0
2459539.7731663,2231.6,166.6,10.9,104.0
2459545.7659941,2043.8,-21.2,12.8,104.0
2459590.7117932,1786.0,-279.0,13.9,104.0
2459644.7122898,2181.7,116.7,14.5,104.0
2459649.6298420,2140.1,75.1,10.0,104.0
2459652.6796063,2016.0,-49.0,12.1,104.0
2459657.7273320,1724.3,-340.7,13.0,104.0
2459661.6841378,1910.5,-154.5,16.9,104.0
2459662.6697007,1817.8,-247.2,15.2,104.0
2459685.5096644,2094.7,29.7,11.7,104.0
2459687.5617665,2190.1,125.1,10.1,104.0
2459691.5839601,2311.2,246.2,14.5,104.0
2459704.6238590,2092.0,27.0,15.2,104.0
2460031.6812879,2174.8,109.8,11.7,104.0
2460035.6102046,2142.3,77.3,9.8,104.0
2460047.6196292,2185.9,120.9,11.3,104.0
2460049.6297281,2235.2,170.2,11.7,104.0
2460053.5979115,2273.0,208.0,10.3,104.0
2460064.5861888,2101.8,36.8,14.0,104.0
2460067.4999667,1900.5,-164.5,12.5,104.0
2460100.5511551,1911.0,-154.0,14.1,104.0
2460404.6178393,1978.3,-86.7,10.4,104.0
2460407.5764817,1909.0,-156.0,11.0,104.0
2460411.5489370,1878.9,-186.1,12.9,104.0
2460433.5833358,2270.6,205.6,20.6,104.0
