eclipser,tt,tt_err,nr
TOI4504c,2458401.4086,0.00320,0
TOI4504c,2458483.2110,0.00340,1
TOI4504c,2458565.0902,0.00325,2
TOI4504c,2458647.3328,0.00440,3
TOI4504c,2459065.2370,0.00235,8
TOI4504c,2459148.4782,0.00265,9
TOI4504c,2459231.1144,0.00210,10
TOI4504c,2459313.2535,0.00190,11
TOI4504c,2459976.0493,0.00440,19
TOI4504c,2460059.6189,0.00230,20
TOI4504c,2460142.6048,0.00225,21
TOI4504c,2460718.6126,0.00458,28
TOI4504c,2460886.2720,0.00458,30
TOI4504c,2460970.0865,0.00600,31
TOI4504d,2460695.5346,0.00458,0
TOI4504d,2460736.6349,0.00458,1
TOI4504d,2460859.2275,0.00458,4
TOI4504d,2460900.0600,0.00458,5
TOI4504d,2460940.8200,0.03300,6
TOI4504d,2460981.7037,0.01000,7
