target,sector,author,exptime,index,eclipser,nr,t0,t5,n0,n1,n2,n3,lower,upper,tt,tt_err,t1,t2,t3,t4,comment,file
TIC349972412,1,QLP,1800,,,,,,,,,,,,3333333,,,,,,,1_QLP_1800
TIC349972412,2,QLP,1800,,,,,,,,,,,,3333333,,,,,,,2_QLP_1800
TIC349972412,4,QLP,1800,,,,,,,,,,,,3333333,,,,,,,4_QLP_1800
TIC349972412,5,QLP,1800,,,,,,,,,,,,3333333,,,,,,,5_QLP_1800
TIC349972412,7,QLP,1800,,,,,,,,,,,,3333333,,,,,,,7_QLP_1800
TIC349972412,8,QLP,1800,,,,,,,,,,,,3333333,,,,,,,8_QLP_1800
TIC349972412,10,QLP,1800,,,,,,,,,,,,3333333,,,,,,,10_QLP_1800
TIC349972412,11,QLP,1800,,,,,,,,,,,,3333333,,,,,,,11_QLP_1800
TIC349972412,13,QLP,1800,,,,,,,,,,,,3333333,,,,,,,13_QLP_1800
TIC349972412,27,SPOC,120,,,,,,,,,,,,3333333,,,,,,,27_SPOC_120
TIC349972412,29,SPOC,120,,,,,,,,,,,,3333333,,,,,,,29_SPOC_120
TIC349972412,30,SPOC,120,,,,,,,,,,,,3333333,,,,,,,30_SPOC_120
TIC349972412,32,SPOC,120,,,,,,,,,,,,3333333,,,,,,,32_SPOC_120
TIC349972412,33,SPOC,120,,,,,,,,,,,,3333333,,,,,,,33_SPOC_120
TIC349972412,35,SPOC,120,,,,,,,,,,,,3333333,,,,,,,35_SPOC_120
TIC349972412,36,SPOC,120,,,,,,,,,,,,3333333,,,,,,,36_SPOC_120
TIC349972412,38,SPOC,120,,,,,,,,,,,,3333333,,,,,,,38_SPOC_120
TIC349972412,62,SPOC,120,,,,,,,,,,,,3333333,,,,,,,62_SPOC_120
TIC349972412,63,SPOC,120,,,,,,,,,,,,3333333,,,,,,,63_SPOC_120
TIC349972412,65,SPOC,120,,,,,,,,,,,,3333333,,,,,,,65_SPOC_120
TIC349972412,68,SPOC,120,,,,,,,,,,,,3333333,,,,,,,68_SPOC_120
TIC349972412,69,SPOC,120,,,,,,,,,,,,3333333,,,,,,,69_SPOC_120
TIC349972412,87,SPOC,120,,,,,,,,,,,,3333333,,,,,,,87_SPOC_120
TIC349972412,90,SPOC,120,,,,,,,,,,,,3333333,,,,,,,90_SPOC_120
TIC349972412,96,SPOC,120,,,,,,,,,,,,3333333,,,,,,,96_SPOC_120
