eclipser,tt,tt_err
TOI4504c,2458401.4086,0.0004
TOI4504c,2458483.2231,0.0151
TOI4504c,2458565.1073,0.0263
TOI4504c,2458647.3635,0.0398
TOI4504c,2458730.2564,0.0825
TOI4504c,2458813.7926,0.1411
TOI4504c,2458897.6602,0.1878
TOI4504c,2458981.5652,0.2201
TOI4504c,2459065.2622,0.2217
TOI4504c,2459148.4917,0.1827
TOI4504c,2459231.1206,0.1244
TOI4504c,2459313.2552,0.0729
TOI4504c,2459395.1287,0.0520
TOI4504c,2459476.9771,0.0595
TOI4504c,2459559.0306,0.1008
TOI4504c,2459641.5272,0.1860
TOI4504c,2459724.6306,0.3141
TOI4504c,2459808.2733,0.4264
TOI4504c,2459892.1846,0.4902
TOI4504c,2459976.0671,0.4884
TOI4504c,2460059.6184,0.4130
TOI4504c,2460142.5931,0.2955
