time,flux,flux_err
2.458400000000000000e+06,1.001587492295267667e+00,4.000000000000000083e-03
2.458400115740740672e+06,1.001216287447884046e+00,4.000000000000000083e-03
2.458400231481481344e+06,9.994138877159638445e-01,4.000000000000000083e-03
2.458400347222222015e+06,9.933055226391021009e-01,4.000000000000000083e-03
2.458400462962963153e+06,1.000894490209283116e+00,4.000000000000000083e-03
2.458400578703703824e+06,1.007390223818545483e+00,4.000000000000000083e-03
2.458400694444444496e+06,1.000547655713761364e+00,4.000000000000000083e-03
2.458400810185185168e+06,9.944796062567685668e-01,4.000000000000000083e-03
2.458400925925925840e+06,9.994644538631003439e-01,4.000000000000000083e-03
2.458401041666666511e+06,9.951769387895890162e-01,4.000000000000000083e-03
2.458401157407407183e+06,1.000565780563385188e+00,4.000000000000000083e-03
2.458401273148148321e+06,1.001139207701041034e+00,4.000000000000000083e-03
2.458401388888888992e+06,1.001414264560778644e+00,4.000000000000000083e-03
2.458401504629629664e+06,9.961881092842672647e-01,4.000000000000000083e-03
2.458401620370370336e+06,1.000510067776462453e+00,4.000000000000000083e-03
2.458401736111111008e+06,9.933992573875289889e-01,4.000000000000000083e-03
2.458401851851851679e+06,1.000907111876464528e+00,4.000000000000000083e-03
2.458401967592592817e+06,1.004999125064804044e+00,4.000000000000000083e-03
2.458402083333333489e+06,1.002821395594074350e+00,4.000000000000000083e-03
2.458402199074074160e+06,1.006874589672051457e+00,4.000000000000000083e-03
2.458402314814814832e+06,9.977683444752669661e-01,4.000000000000000083e-03
2.458402430555555504e+06,9.954432703822787554e-01,4.000000000000000083e-03
2.458402546296296176e+06,1.000909573319417989e+00,4.000000000000000083e-03
2.458402662037036847e+06,1.009523356242630454e+00,4.000000000000000083e-03
2.458402777777777985e+06,9.985301221776806679e-01,4.000000000000000083e-03
2.458402893518518656e+06,1.007360429528239676e+00,4.000000000000000083e-03
2.458403009259259328e+06,9.974338003143722320e-01,4.000000000000000083e-03
2.458403125000000000e+06,1.002352876317529562e+00,4.000000000000000083e-03
2.458403240740740672e+06,9.988798430784191495e-01,4.000000000000000083e-03
2.458403356481481344e+06,9.998102712846568263e-01,4.000000000000000083e-03
2.458403472222222015e+06,1.000576851541988166e+00,4.000000000000000083e-03
2.458403587962963153e+06,9.924222678720479029e-01,4.000000000000000083e-03
2.458403703703703824e+06,9.968412437223864719e-01,4.000000000000000083e-03
2.458403819444444496e+06,9.970461462641601047e-01,4.000000000000000083e-03
2.458403935185185168e+06,1.000429431137376923e+00,4.000000000000000083e-03
2.458404050925925840e+06,9.903645444298421197e-01,4.000000000000000083e-03
2.458404166666666511e+06,9.954269981330617911e-01,4.000000000000000083e-03
2.458404282407407183e+06,1.000819607878064232e+00,4.000000000000000083e-03
2.458404398148148321e+06,9.958379272058365261e-01,4.000000000000000083e-03
2.458404513888888992e+06,9.988477397063717511e-01,4.000000000000000083e-03
2.458404629629629664e+06,9.957425806491997378e-01,4.000000000000000083e-03
2.458404745370370336e+06,1.005410579071541299e+00,4.000000000000000083e-03
2.458404861111111008e+06,9.992120427274201466e-01,4.000000000000000083e-03
2.458404976851851679e+06,1.002912052452086034e+00,4.000000000000000083e-03
2.458405092592592817e+06,1.002022928147820791e+00,4.000000000000000083e-03
2.458405208333333489e+06,9.973152284953794577e-01,4.000000000000000083e-03
2.458405324074074160e+06,9.984834090774251658e-01,4.000000000000000083e-03
2.458405439814814832e+06,1.006632066818726523e+00,4.000000000000000083e-03
2.458405555555555504e+06,9.931749999878203283e-01,4.000000000000000083e-03
2.458405671296296176e+06,9.813928430942930881e-01,4.000000000000000083e-03
2.458405787037036847e+06,9.914795715888163885e-01,4.000000000000000083e-03
2.458405902777777985e+06,1.003862968084122897e+00,4.000000000000000083e-03
2.458406018518518656e+06,1.003161604205568436e+00,4.000000000000000083e-03
2.458406134259259328e+06,1.000167196699645933e+00,4.000000000000000083e-03
2.458406250000000000e+06,1.000039962321094489e+00,4.000000000000000083e-03
2.458406365740740672e+06,1.003728024489423554e+00,4.000000000000000083e-03
2.458406481481481344e+06,9.978546108683483684e-01,4.000000000000000083e-03
2.458406597222222015e+06,9.999004699074925950e-01,4.000000000000000083e-03
2.458406712962963153e+06,9.983517352328692418e-01,4.000000000000000083e-03
2.458406828703703824e+06,1.003402441485465202e+00,4.000000000000000083e-03
2.458406944444444496e+06,1.000857339039833427e+00,4.000000000000000083e-03
2.458407060185185168e+06,1.002149789680627956e+00,4.000000000000000083e-03
2.458407175925925840e+06,9.986182845103882544e-01,4.000000000000000083e-03
2.458407291666666511e+06,9.997297612532428657e-01,4.000000000000000083e-03
2.458407407407407183e+06,9.959411567801718101e-01,4.000000000000000083e-03
2.458407523148148321e+06,1.008399459265621800e+00,4.000000000000000083e-03
2.458407638888888992e+06,1.003128643000117615e+00,4.000000000000000083e-03
2.458407754629629664e+06,1.002229628262939043e+00,4.000000000000000083e-03
2.458407870370370336e+06,1.002377892005465121e+00,4.000000000000000083e-03
2.458407986111111008e+06,1.002753683922444683e+00,4.000000000000000083e-03
2.458408101851851679e+06,9.990794147268291514e-01,4.000000000000000083e-03
2.458408217592592817e+06,9.937800382551412737e-01,4.000000000000000083e-03
2.458408333333333489e+06,9.973335673307439642e-01,4.000000000000000083e-03
2.458408449074074160e+06,1.000879319261672062e+00,4.000000000000000083e-03
2.458408564814814832e+06,9.977490124922984149e-01,4.000000000000000083e-03
2.458408680555555504e+06,9.985443515953095206e-01,4.000000000000000083e-03
2.458408796296296176e+06,9.978059674544824675e-01,4.000000000000000083e-03
2.458408912037036847e+06,1.005924174473977084e+00,4.000000000000000083e-03
2.458409027777777985e+06,1.001587992874430233e+00,4.000000000000000083e-03
2.458409143518518656e+06,9.976189951548966039e-01,4.000000000000000083e-03
2.458409259259259328e+06,1.003061992178542416e+00,4.000000000000000083e-03
2.458409375000000000e+06,1.005569023701281095e+00,4.000000000000000083e-03
2.458409490740740672e+06,9.973487331441384107e-01,4.000000000000000083e-03
2.458409606481481344e+06,1.004698954588747917e+00,4.000000000000000083e-03
2.458409722222222015e+06,9.998093649663378768e-01,4.000000000000000083e-03
2.458409837962963153e+06,1.000603401315544705e+00,4.000000000000000083e-03
2.458409953703703824e+06,9.966721301744130290e-01,4.000000000000000083e-03
2.458410069444444496e+06,9.932198951181041569e-01,4.000000000000000083e-03
2.458410185185185168e+06,1.000369138020676951e+00,4.000000000000000083e-03
2.458410300925925840e+06,9.977458430733282535e-01,4.000000000000000083e-03
2.458410416666666511e+06,9.947078920709535588e-01,4.000000000000000083e-03
2.458410532407407183e+06,1.000011109447941804e+00,4.000000000000000083e-03
2.458410648148148321e+06,1.000618249356310940e+00,4.000000000000000083e-03
2.458410763888888992e+06,9.989569090343817237e-01,4.000000000000000083e-03
2.458410879629629664e+06,1.000646063390636886e+00,4.000000000000000083e-03
2.458410995370370336e+06,1.004896518245066206e+00,4.000000000000000083e-03
2.458411111111111008e+06,9.976482602209748585e-01,4.000000000000000083e-03
2.458411226851851679e+06,9.964007094767775019e-01,4.000000000000000083e-03
2.458411342592592817e+06,1.003011606961377256e+00,4.000000000000000083e-03
2.458411458333333489e+06,1.001913199648204245e+00,4.000000000000000083e-03
2.458411574074074160e+06,9.988883242263304485e-01,4.000000000000000083e-03
2.458411689814814832e+06,9.986091641339971403e-01,4.000000000000000083e-03
2.458411805555555504e+06,1.000439691685217625e+00,4.000000000000000083e-03
2.458411921296296176e+06,9.948329860775075861e-01,4.000000000000000083e-03
2.458412037037036847e+06,9.977334290400950989e-01,4.000000000000000083e-03
2.458412152777777985e+06,9.988687753789027290e-01,4.000000000000000083e-03
2.458412268518518656e+06,9.975468201658712619e-01,4.000000000000000083e-03
2.458412384259259328e+06,1.003656749870893705e+00,4.000000000000000083e-03
2.458412500000000000e+06,9.907818030597281833e-01,4.000000000000000083e-03
2.458412615740740672e+06,9.946448685143324253e-01,4.000000000000000083e-03
2.458412731481481344e+06,9.948662519981483765e-01,4.000000000000000083e-03
2.458412847222222015e+06,1.005554049279162365e+00,4.000000000000000083e-03
2.458412962962963153e+06,1.003526460519748698e+00,4.000000000000000083e-03
2.458413078703703824e+06,1.006138760428228363e+00,4.000000000000000083e-03
2.458413194444444496e+06,9.977868698465661712e-01,4.000000000000000083e-03
2.458413310185185168e+06,1.002857953010453107e+00,4.000000000000000083e-03
2.458413425925925840e+06,9.976446689571133453e-01,4.000000000000000083e-03
2.458413541666666511e+06,9.944099836536002268e-01,4.000000000000000083e-03
2.458413657407407183e+06,1.001977260647109125e+00,4.000000000000000083e-03
2.458413773148148321e+06,1.003261413765865306e+00,4.000000000000000083e-03
2.458413888888888992e+06,1.000736804184265250e+00,4.000000000000000083e-03
2.458414004629629664e+06,1.000639820585170092e+00,4.000000000000000083e-03
2.458414120370370336e+06,1.005890913162922340e+00,4.000000000000000083e-03
