eclipser,tt,tt_err
TOI-4504c,2458400.000,0.100000000
TOI-4504c,2458482.479,0.041666667
TOI-4504c,2458565.274,0.041666667
TOI-4504c,2458648.227,0.041666667
TOI-4504c,2459065.283,0.006944444
TOI-4504c,2459148.418,0.006944444
TOI-4504c,2459231.068,0.006944444
TOI-4504c,2459313.342,0.006944444
TOI-4504c,2459976.120,0.020833333
TOI-4504c,2460059.566,0.006944444
TOI-4504c,2460142.652,0.006944444
TOI-4504c,2460718.597,0.006944444
TOI-4504d,2460695.449,0.006944444
TOI-4504d,2460736.750,0.006944444
TOI-4504d,2460859.192,0.006944444
