eclipser,tt,tt_err
TOI4504c,2458400.278994772,0.02
TOI4504c,2458482.7639835854,0.02
TOI4504c,2458565.408568029,0.02
TOI4504c,2458648.2489294475,0.02
TOI4504c,2459065.2702923175,0.006944444
TOI4504c,2459148.411481469,0.006944444
TOI4504c,2459231.0714889457,0.006944444
TOI4504c,2459313.3490677234,0.006944444
TOI4504c,2459976.1113599497,0.01
TOI4504c,2460059.57266578,0.006944444
TOI4504c,2460142.668806182,0.006944444
TOI4504c,2460718.5914896154,0.006944444
TOI4504c,2460884.6252414915,0.006944444
TOI4504d,2460695.4889200353,0.006944444
TOI4504d,2460736.7321341126,0.006944444
TOI4504d,2460859.20172709,0.006944444
TOI4504d,2460899.7797762905,0.006944444
