eclipser,tt,tt_err
TOI4504c,2458400.3233335637, 0.001
TOI4504c,2458482.8304617493, 0.001
TOI4504c,2458565.4981692634, 0.001
TOI4504c,2458648.3642851864, 0.001
TOI4504c,2458731.4559168285, 0.001
TOI4504c,2458814.7855396625, 0.001
TOI4504c,2458898.335567227, 0.001
TOI4504c,2458982.0114480127, 0.001
TOI4504c,2459065.593791008, 0.001
TOI4504c,2459148.81554268, 0.001
TOI4504c,2459231.556979815, 0.001
TOI4504c,2459313.904575948, 0.001
TOI4504c,2459396.0363449873, 0.001
TOI4504c,2459478.1395391184, 0.001
TOI4504c,2459560.3936804663, 0.001
TOI4504c,2459642.9630058785, 0.001
TOI4504c,2459725.967948525, 0.001
TOI4504c,2459809.419691121, 0.001
TOI4504c,2459893.1577479397, 0.001
TOI4504c,2459976.903992229, 0.001
TOI4504c,2460060.4166834443, 0.001
TOI4504c,2460143.580395204, 0.001
TOI4504c,2460226.3842203, 0.001
TOI4504c,2460308.876704287, 0.001
TOI4504c,2460391.1365323598, 0.001
TOI4504c,2460473.257886922, 0.001
TOI4504c,2460555.344391752, 0.001
TOI4504c,2460637.5095764794, 0.001
TOI4504c,2460719.8791759987, 0.001
TOI4504c,2460802.5755679165, 0.001
TOI4504c,2460885.6590244505, 0.001
TOI4504d,2458403.7038935553, 0.001
TOI4504d,2458444.7118820967, 0.001
TOI4504d,2458485.785478133, 0.001
TOI4504d,2458526.664348002, 0.001
TOI4504d,2458567.5869191135, 0.001
TOI4504d,2458608.3104160097, 0.001
TOI4504d,2458649.040193028, 0.001
TOI4504d,2458689.5978441946, 0.001
TOI4504d,2458730.1089260313, 0.001
TOI4504d,2458770.5099538523, 0.001
TOI4504d,2458810.802776725, 0.001
TOI4504d,2458851.0814322364, 0.001
TOI4504d,2458891.205656087, 0.001
TOI4504d,2458931.4336820883, 0.001
TOI4504d,2458971.520023876, 0.001
TOI4504d,2459011.8216152545, 0.001
TOI4504d,2459052.090329594, 0.001
TOI4504d,2459092.6284675244, 0.001
TOI4504d,2459133.3064388344, 0.001
TOI4504d,2459174.2084794575, 0.001
TOI4504d,2459215.3695150656, 0.001
TOI4504d,2459256.640247945, 0.001
TOI4504d,2459298.166765107, 0.001
TOI4504d,2459339.6878851783, 0.001
TOI4504d,2459381.3876090227, 0.001
TOI4504d,2459422.978538054, 0.001
TOI4504d,2459464.6707667243, 0.001
TOI4504d,2459506.1464654077, 0.001
TOI4504d,2459547.6818535062, 0.001
TOI4504d,2459588.8943751655, 0.001
TOI4504d,2459630.1563466038, 0.001
TOI4504d,2459671.025771565, 0.001
TOI4504d,2459711.939881466, 0.001
TOI4504d,2459752.48161157, 0.001
TOI4504d,2459793.050729787, 0.001
TOI4504d,2459833.377780738, 0.001
TOI4504d,2459873.716127431, 0.001
TOI4504d,2459913.9893646594, 0.001
TOI4504d,2459954.2836568975, 0.001
TOI4504d,2459994.6475673607, 0.001
TOI4504d,2460035.0679530036, 0.001
TOI4504d,2460075.620756326, 0.001
TOI4504d,2460116.269220246, 0.001
TOI4504d,2460157.065961096, 0.001
TOI4504d,2460197.977342429, 0.001
TOI4504d,2460239.0387508604, 0.001
TOI4504d,2460280.1996981655, 0.001
TOI4504d,2460321.515221949, 0.001
TOI4504d,2460362.8828304787, 0.001
TOI4504d,2460404.4108593906, 0.001
TOI4504d,2460445.924055135, 0.001
TOI4504d,2460487.591620728, 0.001
TOI4504d,2460529.174152127, 0.001
TOI4504d,2460570.876127702, 0.001
TOI4504d,2460612.430848899, 0.001
TOI4504d,2460654.0353978123, 0.001
TOI4504d,2460695.4381810296, 0.001
TOI4504d,2460736.8116511237, 0.001
TOI4504d,2460777.926956283, 0.001
TOI4504d,2460818.9806187595, 0.001
TOI4504d,2460859.7232562522, 0.001
TOI4504d,2460900.4531780877, 0.001
