a=100 e=0.70 i=90 Ω=0 ϖ=0
L0,30.00,0.00,0.00
L17,25.88,0.00,20.28
L34,12.68,0.00,40.17
L51,-8.01,0.00,56.04
L68,-31.44,0.00,65.89
L85,-61.16,0.00,71.13
L102,-91.83,0.00,69.69
L119,-117.61,0.00,62.80
L136,-141.49,0.00,49.93
L153,-159.39,0.00,32.01
L170,-168.64,0.00,11.73
L187,-169.38,-0.00,-7.96
L204,-161.29,-0.00,-29.14
L221,-144.68,-0.00,-47.49
L238,-124.02,-0.00,-60.10
L255,-96.25,-0.00,-68.91
L272,-65.62,-0.00,-71.35
L289,-37.54,-0.00,-67.55
L306,-11.92,-0.00,-58.13
L323,10.11,-0.00,-42.74
L340,24.37,-0.00,-23.62
L357,29.79,-0.00,-4.58
a=100 e=0.70 i=90 Ω=10 ϖ=0
L0,29.10,5.13,-5.21
L17,28.57,5.04,15.48
L34,19.17,3.38,37.36
L51,1.81,0.32,56.58
L68,-19.22,-3.39,70.35
L85,-47.15,-8.31,80.67
L102,-77.15,-13.60,84.58
L119,-103.32,-18.22,82.27
L136,-128.68,-22.69,73.74
L153,-149.11,-26.29,59.20
L170,-161.55,-28.49,40.83
L187,-165.63,-29.20,21.58
L204,-161.41,-28.46,-0.69
L221,-148.44,-26.17,-21.65
L238,-130.55,-23.02,-37.65
L255,-105.13,-18.54,-51.15
L272,-75.85,-13.37,-58.87
L289,-47.96,-8.46,-60.00
L306,-21.50,-3.79,-55.18
L323,2.50,0.44,-43.85
L340,19.60,3.46,-27.49
L357,28.11,4.96,-9.69
a=100 e=0.70 i=90 Ω=40 ϖ=0
L0,17.60,14.77,-19.28
L17,25.18,21.12,-1.10
L34,27.22,22.84,22.62
L51,22.89,19.21,48.08
L68,14.00,11.74,70.68
L85,-0.86,-0.72,93.80
L102,-19.57,-16.42,112.42
L119,-38.09,-31.96,123.71
L136,-58.44,-49.04,129.20
L153,-77.78,-65.26,126.97
L170,-93.19,-78.20,117.38
L187,-103.31,-86.69,102.78
L204,-109.00,-91.46,81.35
L221,-108.29,-90.86,56.62
L238,-102.37,-85.90,33.68
L255,-90.41,-75.86,9.08
L272,-73.64,-61.79,-12.47
L289,-55.29,-46.40,-27.61
L306,-35.62,-29.89,-36.87
L323,-15.11,-12.68,-39.24
L340,2.67,2.24,-33.76
L357,15.23,12.78,-22.66
a=100 e=0.70 i=90 Ω=60 ϖ=0
L0,7.50,12.99,-25.98
L17,15.25,26.42,-12.27
L34,20.56,35.62,9.10
L51,22.26,38.56,34.96
L68,20.67,35.80,60.17
L85,15.51,26.87,88.53
L102,7.22,12.50,114.38
L119,-2.21,-3.83,133.25
L136,-13.75,-23.82,147.50
L153,-25.99,-45.02,154.04
L170,-37.08,-64.23,151.91
L187,-45.79,-79.31,142.71
L204,-52.94,-91.70,125.11
L221,-56.74,-98.27,101.55
L238,-57.03,-98.77,77.35
L255,-53.90,-93.36,48.90
L272,-47.30,-81.93,21.16
L289,-38.64,-66.92,-1.26
L306,-28.15,-48.76,-18.75
L323,-15.98,-27.68,-30.13
L340,-4.13,-7.16,-32.92
L357,5.46,9.46,-28.09
a=100 e=0.70 i=90 Ω=85 ϖ=0
L0,0.23,2.60,-29.89
L17,1.96,22.38,-24.01
L34,3.58,40.96,-9.13
L51,4.80,54.92,12.87
L68,5.48,62.66,37.06
L85,5.71,65.28,67.12
L102,5.35,61.19,97.56
L119,4.56,52.11,122.63
L136,3.26,37.27,145.30
L153,1.57,17.92,161.58
L170,-0.26,-3.01,169.02
L187,-1.98,-22.60,168.04
L204,-3.76,-42.92,158.14
L221,-5.22,-59.69,139.99
L238,-6.16,-70.41,118.31
L255,-6.71,-76.74,89.87
L272,-6.69,-76.50,59.16
L289,-6.15,-70.29,31.51
L306,-5.14,-58.72,6.80
L323,-3.63,-41.54,-13.80
L340,-1.87,-21.32,-26.34
L357,-0.17,-1.96,-30.08
