time,flux,flux_err
2.460001899999999907e+06,1.000167295200270479e+00,4.000000000000000192e-04
2.460001900694444310e+06,9.999768031594878925e-01,4.000000000000000192e-04
2.460001901388888713e+06,9.998848826538541124e-01,4.000000000000000192e-04
2.460001902083333116e+06,9.995487070376429806e-01,4.000000000000000192e-04
2.460001902777777519e+06,1.000518369378143868e+00,4.000000000000000192e-04
2.460001903472221922e+06,9.999319120039485975e-01,4.000000000000000192e-04
2.460001904166666791e+06,1.000248450515631937e+00,4.000000000000000192e-04
2.460001904861111194e+06,1.000311127930599842e+00,4.000000000000000192e-04
2.460001905555555597e+06,1.000459845456758812e+00,4.000000000000000192e-04
2.460001906250000000e+06,1.000223196731621966e+00,4.000000000000000192e-04
2.460001906944444403e+06,9.994862225615980256e-01,4.000000000000000192e-04
2.460001907638888806e+06,1.000141222471919722e+00,4.000000000000000192e-04
2.460001908333333209e+06,9.999299086714427132e-01,4.000000000000000192e-04
2.460001909027777612e+06,1.000731505780811048e+00,4.000000000000000192e-04
2.460001909722222015e+06,1.000111235960471356e+00,4.000000000000000192e-04
2.460001910416666418e+06,1.000492321343189106e+00,4.000000000000000192e-04
2.460001911111110821e+06,9.998302565497914074e-01,4.000000000000000192e-04
2.460001911805555690e+06,9.997019411592934501e-01,4.000000000000000192e-04
2.460001912500000093e+06,1.000535372408708490e+00,4.000000000000000192e-04
2.460001913194444496e+06,1.000654896498353486e+00,4.000000000000000192e-04
2.460001913888888899e+06,9.995479851971845742e-01,4.000000000000000192e-04
2.460001914583333302e+06,9.997690512416538278e-01,4.000000000000000192e-04
2.460001915277777705e+06,9.998666345892289753e-01,4.000000000000000192e-04
2.460001915972222108e+06,9.999533749512763414e-01,4.000000000000000192e-04
2.460001916666666511e+06,1.000126783819805354e+00,4.000000000000000192e-04
2.460001917361110914e+06,9.995388345328100055e-01,4.000000000000000192e-04
2.460001918055555318e+06,9.998000570959624245e-01,4.000000000000000192e-04
2.460001918749999721e+06,9.998443937332563980e-01,4.000000000000000192e-04
2.460001919444444124e+06,9.998880740998067340e-01,4.000000000000000192e-04
2.460001920138888992e+06,9.998456880930396418e-01,4.000000000000000192e-04
2.460001920833333395e+06,1.000292755071349182e+00,4.000000000000000192e-04
2.460001921527777798e+06,9.998313256567770146e-01,4.000000000000000192e-04
2.460001922222222202e+06,1.000556607882398419e+00,4.000000000000000192e-04
2.460001922916666605e+06,1.000085469013988204e+00,4.000000000000000192e-04
