time,rv_abs,rv_rel,rv_err,rv_jit
2459685.5096644,2094.7,29.7,11.7,104.0
2459687.5617665,2190.1,125.1,10.1,104.0
2459691.5839601,2311.2,246.2,14.5,104.0
2459704.6238590,2092.0,27.0,15.2,104.0
2460031.6812879,2174.8,109.8,11.7,104.0
2460035.6102046,2142.3,77.3,9.8,104.0
2460047.6196292,2185.9,120.9,11.3,104.0
2460049.6297281,2235.2,170.2,11.7,104.0
2460053.5979115,2273.0,208.0,10.3,104.0
2460064.5861888,2101.8,36.8,14.0,104.0
2460067.4999667,1900.5,-164.5,12.5,104.0
2460100.5511551,1911.0,-154.0,14.1,104.0
2460404.6178393,1978.3,-86.7,10.4,104.0
2460407.5764817,1909.0,-156.0,11.0,104.0
2460411.5489370,1878.9,-186.1,12.9,104.0
2460433.5833358,2270.6,205.6,20.6,104.0
