time,flux,flux_err
2.460001899999999907e+06,9.997471804231975456e-01,4.000000000000000192e-04
2.460001900694444310e+06,9.998739272269128175e-01,4.000000000000000192e-04
2.460001901388888713e+06,9.997035611178733960e-01,4.000000000000000192e-04
2.460001902083333116e+06,1.000238107780857533e+00,4.000000000000000192e-04
2.460001902777777519e+06,9.993852529162632337e-01,4.000000000000000192e-04
2.460001903472221922e+06,1.000497429550012196e+00,4.000000000000000192e-04
2.460001904166666791e+06,9.993221988191384186e-01,4.000000000000000192e-04
2.460001904861111194e+06,1.000383716309431570e+00,4.000000000000000192e-04
2.460001905555555597e+06,1.000519956898171525e+00,4.000000000000000192e-04
2.460001906250000000e+06,1.000653408050075077e+00,4.000000000000000192e-04
2.460001906944444403e+06,9.997086904931297147e-01,4.000000000000000192e-04
2.460001907638888806e+06,1.000489952170325658e+00,4.000000000000000192e-04
2.460001908333333209e+06,9.997899471813563865e-01,4.000000000000000192e-04
2.460001909027777612e+06,9.995895898684493686e-01,4.000000000000000192e-04
2.460001909722222015e+06,1.000072544044595668e+00,4.000000000000000192e-04
2.460001910416666418e+06,1.000378827684425209e+00,4.000000000000000192e-04
2.460001911111110821e+06,1.000681884225575136e+00,4.000000000000000192e-04
2.460001911805555690e+06,1.000029020626143073e+00,4.000000000000000192e-04
2.460001912500000093e+06,1.000163877057577366e+00,4.000000000000000192e-04
2.460001913194444496e+06,9.992728052563224495e-01,4.000000000000000192e-04
2.460001913888888899e+06,1.000405852347047153e+00,4.000000000000000192e-04
2.460001914583333302e+06,1.000443892920210853e+00,4.000000000000000192e-04
2.460001915277777705e+06,9.999464667809445650e-01,4.000000000000000192e-04
2.460001915972222108e+06,9.998360717990412150e-01,4.000000000000000192e-04
2.460001916666666511e+06,1.000475914881908901e+00,4.000000000000000192e-04
2.460001917361110914e+06,9.996767057979657478e-01,4.000000000000000192e-04
2.460001918055555318e+06,9.996529996537707463e-01,4.000000000000000192e-04
2.460001918749999721e+06,9.998803805761030672e-01,4.000000000000000192e-04
2.460001919444444124e+06,9.992863792697520564e-01,4.000000000000000192e-04
2.460001920138888992e+06,1.000252499531290251e+00,4.000000000000000192e-04
2.460001920833333395e+06,1.000370364356476305e+00,4.000000000000000192e-04
2.460001921527777798e+06,1.000036595356801339e+00,4.000000000000000192e-04
2.460001922222222202e+06,9.997426551782371273e-01,4.000000000000000192e-04
2.460001922916666605e+06,9.996830955086575266e-01,4.000000000000000192e-04
2.460001923611111008e+06,9.998820675715403006e-01,4.000000000000000192e-04
2.460001924305555411e+06,1.000199589446729043e+00,4.000000000000000192e-04
2.460001924999999814e+06,9.994207118398731327e-01,4.000000000000000192e-04
