time,flux,flux_err
2.460001899999999907e+06,1.000222131097237233e+00,4.000000000000000192e-04
2.460001905787036754e+06,1.000458239339762967e+00,4.000000000000000192e-04
2.460001911574074067e+06,1.000181084632428385e+00,4.000000000000000192e-04
2.460001917361110914e+06,9.999314986096110580e-01,4.000000000000000192e-04
2.460001923148148227e+06,9.995946446293697552e-01,4.000000000000000192e-04
2.460001928935185075e+06,1.000035069609616301e+00,4.000000000000000192e-04
2.460001934722221922e+06,9.991559535283340843e-01,4.000000000000000192e-04
2.460001940509259235e+06,1.000584880168513768e+00,4.000000000000000192e-04
2.460001946296296082e+06,1.000415947796171157e+00,4.000000000000000192e-04
2.460001952083333395e+06,1.000185999163557327e+00,4.000000000000000192e-04
2.460001957870370243e+06,1.000154912475557545e+00,4.000000000000000192e-04
2.460001963657407090e+06,9.999315015569325560e-01,4.000000000000000192e-04
2.460001969444444403e+06,1.000392915937068139e+00,4.000000000000000192e-04
2.460001975231481250e+06,9.997747788908971645e-01,4.000000000000000192e-04
2.460001981018518563e+06,1.000159075266703779e+00,4.000000000000000192e-04
2.460001986805555411e+06,1.000087530640203948e+00,4.000000000000000192e-04
2.460001992592592724e+06,1.000384155429493438e+00,4.000000000000000192e-04
2.460001998379629571e+06,9.998374184655673957e-01,4.000000000000000192e-04
2.460002004166666418e+06,1.000142635888715992e+00,4.000000000000000192e-04
2.460002009953703731e+06,1.000064110652248761e+00,4.000000000000000192e-04
2.460002015740740579e+06,1.000319552914670229e+00,4.000000000000000192e-04
2.460002021527777892e+06,9.996668546949972756e-01,4.000000000000000192e-04
2.460002027314814739e+06,9.997445212326623309e-01,4.000000000000000192e-04
2.460002033101851586e+06,9.997214764252695396e-01,4.000000000000000192e-04
2.460002038888888899e+06,9.999351093701562831e-01,4.000000000000000192e-04
2.460002044675925747e+06,9.996495553095238185e-01,4.000000000000000192e-04
2.460002050462963060e+06,1.000687445258309882e+00,4.000000000000000192e-04
2.460002056249999907e+06,1.000403240985321185e+00,4.000000000000000192e-04
2.460002062037036754e+06,1.000399576731769269e+00,4.000000000000000192e-04
2.460002067824074067e+06,9.999740717639987730e-01,4.000000000000000192e-04
2.460002073611110914e+06,1.000010224929944513e+00,4.000000000000000192e-04
2.460002079398148227e+06,1.000629033199406770e+00,4.000000000000000192e-04
2.460002085185185075e+06,9.995914435327316605e-01,4.000000000000000192e-04
2.460002090972221922e+06,9.999478615369076229e-01,4.000000000000000192e-04
2.460002096759259235e+06,1.000444881287206655e+00,4.000000000000000192e-04
2.460002102546296082e+06,1.000094471336601787e+00,4.000000000000000192e-04
2.460002108333333395e+06,1.000266524070932750e+00,4.000000000000000192e-04
2.460002114120370243e+06,9.999760284842844626e-01,4.000000000000000192e-04
2.460002119907407090e+06,1.000032672958515612e+00,4.000000000000000192e-04
2.460002125694444403e+06,9.995458612718958191e-01,4.000000000000000192e-04
2.460002131481481250e+06,9.998469448195993481e-01,4.000000000000000192e-04
2.460002137268518563e+06,9.997534507084870903e-01,4.000000000000000192e-04
2.460002143055555411e+06,1.000138710168825940e+00,4.000000000000000192e-04
2.460002148842592724e+06,9.998316533209241630e-01,4.000000000000000192e-04
2.460002154629629571e+06,1.000439529394982374e+00,4.000000000000000192e-04
2.460002160416666418e+06,9.993165104832061330e-01,4.000000000000000192e-04
2.460002166203703731e+06,9.998000711270044194e-01,4.000000000000000192e-04
