time;flux;flux_err
2147,086222712922;1542,3649;3,326533
2147,0931672590054;1540,6047;3,321904
2147,1001118051486;1535,5481;3,3238704
2147,1070563512335;1548,9669;3,3269017
2147,114000897317;1540,6796;3,3258376
2147,1209454434597;1542,2666;3,3250043
2147,1278899895447;1544,1942;3,329156
2147,1348345356287;1540,6237;3,323633
2147,1417790817136;1539,2073;3,3241549
2147,1487236277985;1545,0529;3,3261814
2147,1556681738825;1542,79;3,3240676
2147,162612719908;1545,4371;3,3264024
2147,1695572659924;1544,6243;3,3247519
2147,1765018120773;1547,9851;3,3266811
2147,183446358103;1543,2997;3,3239474
2147,190390904187;1543,1007;3,3325746
2147,197335450214;1547,2617;3,325087
2147,20427999624;1548,4573;3,3330207
2147,2112245422663;1545,834;3,3241959
2147,2181690883513;1537,9049;3,32305
2147,2251136343766;1544,3701;3,3253722
2147,232058180403;1542,5001;3,3256617
2147,2390027264296;1540,6016;3,3253458
2147,245947272397;1538,7089;3,3213081
2147,252891818423;1542,7975;3,3247461
2147,2598363644493;1540,4729;3,3249042
2147,2667809104764;1544,3275;3,3236768
2147,2737254564436;1542,5386;3,3236709
2147,28067000247;1542,6616;3,323012
2147,2876145484383;1536,7191;3,3209648
2147,294559094406;1544,4147;3,324924
2147,3015036404317;1540,7778;3,3231044
2147,3084481864003;1537,6052;3,3234742
2147,315392732368;1546,9547;3,3236837
2147,322337278336;1538,6252;3,3217459
2147,329281824305;1544,7871;3,3243532
2147,3362263702725;1543,3828;3,325013
2147,34317091624;1541,6943;3,3220973
2147,3501154622077;1544,9852;3,3237107
2147,357060008118;1540,2993;3,3228314
2147,3640045540856;1541,2096;3,3290489
2147,3709490999954;1543,7184;3,3230124
2147,3778936459635;1540,882;3,3255758
2147,384838191873;1546,6514;3,3266296
2147,391782737842;1540,923;3,3238945
2147,3987272837517;1542,9272;3,3234947
2147,405671829661;1547,7856;3,3242745
2147,412616375571;1548,2134;3,3236551
2147,4195609214808;1541,0673;3,3239524
2147,42650546739;1543,4109;3,3245997
