time;flux;flux_err
2975,7111790818585;1305,1202;9,423139
2975,7125679905926;1308,8081;9,432718
2975,713956899326;1303,677;9,435104
2975,7153458080597;1274,8876;9,421219
2975,7167347167942;1294,1385;9,438082
2975,718123625587;1289,7147;9,439558
2975,71951253432;1297,9075;9,455088
2975,7209014430546;1288,257;9,455203
2975,7222903518473;1308,309;9,474147
2975,723679260581;1306,9807;9,474104
2975,7250681693727;1296,5259;9,47605
2975,7264570781654;1313,4578;9,485512
2975,727845986958;1301,1151;9,486468
2975,729234895691;1304,8873;9,4930725
2975,7306238044835;1276,0323;9,482159
2975,732012713333;1320,614;9,515464
2975,7334016221253;1308,2839;9,5185995
2975,734790530918;1311,9532;9,520026
2975,7361794397107;1311,2072;9,52321
2975,73756834856;1306,6848;9,531067
2975,7389572573525;1296,8102;9,530361
2975,740346166203;1297,4792;9,535258
2975,7417350750534;1307,9811;9,549971
2975,7431239838456;1311,8021;9,55424
2975,7445128926965;1304,1342;9,558312
2975,7459018015475;1281,7373;9,559466
2975,747290710455;1315,0645;9,577453
2975,7486796193057;1307,5928;9,583565
2975,750068528155;1298,2368;9,583255
2975,7514574370057;1291,3727;9,585614
2975,7528463459134;1287,6427;9,590534
2975,754235254765;1288,3118;9,600119
2975,7556241636735;1299,3385;9,610432
2975,757013072524;1298,1799;9,618024
2975,7584019814326;1304,6414;9,627001
2975,7597908903413;1306,4266;9,639551
2975,76117979925;1306,0443;9,638065
2975,7625687081586;1307,4521;9,648491
2975,763957617068;1298,8579;9,656257
2975,7653465259755;1303,9209;9,663597
2975,766735434883;1304,3225;9,669537
2975,76812434385;1297,6378;9,673741
2975,769513252759;1308,2949;9,689919
2975,770902161667;1313,9707;9,693153
2975,7722910706343;1311,9978;9,69922
2975,7736799796016;1320,7064;9,711439
2975,7750688885103;1312,3578;9,709766
2975,7764577974763;1310,0597;9,712543
2975,7778467064436;1306,8988;9,723581
2975,779235615411;1312,0763;9,731008
2975,780624524377;1320,0239;9,738688
2975,782013433344;1311,7609;9,7430315
2975,7834023423106;1307,1024;9,749495
2975,7847912512766;1313,5728;9,764321
2975,786180160302;1301,0717;9,7603855
2975,7875690692695;1302,1312;9,76497
2975,7889579782936;1309,2557;9,784214
2975,7903468872605;1313,4362;9,784136
2975,7917357962856;1299,3171;9,788238
2975,793124705311;1309,4674;9,801241
2975,7945136143358;1287,3713;9,796653
2975,7959025233613;1303,8164;9,806481
2975,7972914323286;1302,3175;9,820288
2975,798680341353;1308,0631;9,831115
2975,8000692503783;1311,0742;9,840183
2975,801458159461;1289,0951;9,836681
2975,8028470684853;1307,077;9,849757
2975,8042359775104;1315,473;9,862515
