time;flux;flux_err
3059,2013410410063;1273,9633;4,7787895
3059,202729911218;1270,2966;4,770755
3059,2041187813707;1273,8949;4,7745047
3059,2055076515235;1269,9746;4,7742662
3059,2068965216768;1277,307;4,778368
3059,2082853918296;1270,6833;4,771628
3059,209674261924;1276,1941;4,773401
3059,2110631320766;1268,4243;4,769624
3059,212452002229;1262,9658;4,7682047
3059,213840872382;1271,8633;4,7724695
3059,215229742535;1264,5516;4,768675
3059,216618612688;1273,8168;4,773551
3059,218007482841;1266,5016;4,769116
3059,219396352936;1280,9362;4,7790837
3059,2207852230886;1276,8607;4,77486
3059,222174093242;1271,2623;4,7733326
3059,223562963394;1273,1016;4,7832956
3059,2249518334884;1263,2211;4,764794
3059,2263407036417;1267,1438;4,7718883
3059,227729573736;1267,5822;4,770466
3059,229118443889;1285,2864;4,792319
3059,2305073140424;1268,8683;4,771887
3059,231896184137;1271,5385;4,770032
3059,23328505429;1275,4532;4,778771
3059,234673924385;1275,4216;4,7724533
3059,2360627945372;1271,0398;4,778588
3059,2374516646314;1274,2284;4,775987
3059,238840534726;1270,2896;4,7747326
3059,240229404879;1271,7338;4,778732
3059,241618274974;1264,0369;4,7654157
3059,2430071450685;1269,4613;4,770039
3059,2443960152214;1269,6885;4,771806
3059,2457848853164;1265,1971;4,7707243
3059,2471737554115;1272,2911;4,777185
3059,248562625505;1256,9341;4,757918
3059,2499514956576;1273,1787;4,768957
3059,251340365752;1275,878;4,775954
3059,2527292358473;1279,61;4,7795625
3059,2541181059423;1265,6964;4,764383
3059,2555069760365;1280,6942;4,7785683
3059,2568958461306;1280,5488;4,785697
3059,258284716225;1274,712;4,774831
3059,259673586319;1265,5862;4,764737
3059,261062456413;1273,0352;4,770318
3059,262451326508;1267,4244;4,7663465
3059,263840196603;1266,3917;4,7689433
3059,2652290666974;1270,9452;4,773378
3059,2666179367925;1279,2091;4,7844124
3059,2680068068876;1259,3668;4,7600274
3059,2693956769817;1276,9724;4,775057
3059,2707845470186;1260,7179;4,763906
3059,2721734171128;1266,5927;4,765804
3059,273562287207;1268,3058;4,769344
3059,274951157302;1277,992;4,7770586
3059,276340027338;1281,0642;4,7822547
3059,277728897433;1268,9414;4,767438
3059,279117767528;1275,9615;4,7779226
3059,2805066375645;1268,1843;4,7711406
3059,281895507659;1269,0138;4,767403
3059,283284377754;1275,8308;4,7719626
3059,28467324779;1269,3986;4,768322
3059,2860621178843;1277,6411;4,7752957
3059,2874509879207;1275,1475;4,7725196
3059,2888398580153;1267,7031;4,7753816
3059,290228728052;1269,6765;4,7682705
3059,291617598147;1276,8317;4,77494
3059,293006468183;1273,7377;4,773057
3059,29439533822;1268,9808;4,7727604
3059,295784208315;1270,1503;4,775146
3059,2971730783506;1267,171;4,767062
3059,2985619483866;1266,3691;4,767507
3059,299950818423;1280,1632;4,779926
3059,301339688518;1268,3505;4,7649503
3059,302728558555;1278,8345;4,7786975
3059,304117428591;1274,826;4,7730184
3059,3055062986277;1270,257;4,7686563
3059,3068951686646;1276,8452;4,7791033
3059,308284038759;1266,114;4,766608
3059,309672908795;1267,0171;4,7666755
3059,3110617788307;1262,4332;4,763864
3059,3124506488666;1281,6487;4,7808022
3059,3138395189026;1287,089;4,7892804
3059,3152283889394;1268,5217;4,769908
3059,3166172589763;1275,6031;4,7748523
3059,3180061290122;1271,7593;4,773107
3059,319394998991;1275,2369;4,786931
3059,320783869027;1272,6907;4,7714763
3059,322172739063;1272,4623;4,768738
3059,3235616090997;1270,4504;4,772763
3059,3249504791356;1272,6534;4,7800674
3059,3263393491725;1271,166;4,774476
3059,327728219151;1264,4081;4,7622766
3059,3291170891875;1268,321;4,7694182
3059,330505959224;1269,5707;4,7650337
3059,3318948292026;1268,6077;4,7690067
3059,3332836992386;1270,6985;4,7722235
3059,3346725692745;1268,386;4,764918
3059,3360614392527;1268,0277;4,7697806
3059,337450309289;1268,4021;4,7788854
3059,338839179268;1264,6484;4,7622
3059,340228049304;1263,8773;4,7693043
3059,3416169192824;1271,71;4,7705984
3059,3430057893192;1276,6974;4,7745166
3059,344394659298;1267,2136;4,7690253
3059,3457835293334;1276,7556;4,7731857
3059,347172399311;1269,0084;4,768261
3059,3485612693476;1277,885;4,775611
3059,349950139326;1272,0642;4,7789307
3059,351339009305;1279,0005;4,7781334
3059,3527278792826;1272,0988;4,779953
3059,3541167493195;1280,5449;4,7799087
3059,355505619298;1273,2809;4,7816405
3059,3568944892763;1265,8383;4,765088
3059,358283359254;1266,0814;4,765299
3059,3596722292896;1266,2258;4,7636333
3059,361061099268;1267,5981;4,773699
3059,362449969247;1269,512;4,7761803
3059,363838839225;1272,1509;4,774219
3059,3652277092033;1263,9315;4,7707467
3059,366616579182;1270,6016;4,7692795
3059,36800544916;1269,8875;4,7654843
3059,369394319138;1271,3611;4,766636
3059,3707831891147;1266,705;4,772148
3059,3721720590925;1268,1289;4,770901
3059,3735609290707;1257,5941;4,7557344
3059,3749497990493;1270,6189;4,770501
3059,376338669028;1272,0475;4,7705503
3059,377727538948;1279,5175;4,7781878
3059,379116408926;1277,8776;4,775918
3059,380505278905;1269,9458;4,7764993
3059,3818941488826;1267,7539;4,769877
3059,383283018802;1273,8921;4,778149
3059,3846718887803;1272,3872;4,772915
3059,3860607587585;1268,9708;4,767502
3059,387449628679;1281,3048;4,790368
3059,388838498657;1269,9598;4,778865
3059,3902273686354;1276,7449;4,7789016
3059,391616238556;1275,4471;4,774666
3059,3930051085345;1273,4049;4,774252
3059,3943939784535;1273,3091;4,7694116
3059,3957828484313;1266,2079;4,7660723
3059,3971717183513;1270,7887;4,7745566
3059,39856058833;1263,6569;4,7651076
3059,3999494582504;1274,0471;4,7721624
3059,401338328228;1267,0273;4,767215
3059,4027271981486;1266,1951;4,767237
3059,404116068069;1275,3066;4,772927
3059,405504938047;1272,2084;4,782146
3059,4068938079668;1267,7981;4,7695484
3059,408282677886;1275,6256;4,7751374
3059,4096715478063;1270,2325;4,762348
3059,411060417785;1263,3486;4,7608128
3059,412449287705;1274,351;4,776442
3059,413838157625;1265,0569;4,765289
3059,4152270275454;1263,6824;4,7683563
3059,4166158974654;1278,7042;4,781468
3059,4180047673854;1270,8715;4,767803
3059,419393637305;1274,7472;4,7752533
3059,4207825072244;1273,0933;4,7735014
3059,422171377145;1277,616;4,7767377
3059,423560247065;1269,3243;4,766945
3059,4249491169844;1273,5392;4,771285
3059,4263379869035;1275,7587;4,784144
3059,427726856824;1275,5878;4,777557
3059,4291157267444;1275,6447;4,776507
