time;flux;flux_err
3142,201675384448;1520,6387;5,5345664
3142,20399016758;1527,3779;5,5331807
3142,2063049507115;1520,3407;5,532065
3142,208619733844;1513,1705;5,5257597
3142,2109345169765;1509,6254;5,523768
3142,2132493001086;1521,2611;5,5312247
3142,21556408324;1516,6604;5,5252132
3142,2178788663723;1509,5507;5,5250573
3142,220193649505;1520,3063;5,5315833
3142,2225084325787;1525,936;5,5313582
3142,2248232157103;1520,7924;5,529188
3142,227137998842;1514,7933;5,5204825
3142,2294527819745;1517,1564;5,527879
3142,2317675650484;1514,645;5,5268645
3142,23408234818;1525,9506;5,531515
3142,236397131312;1518,777;5,527968
3142,2387119143864;1518,2322;5,5258374
3142,2410266975185;1519,5046;5,5265455
3142,24334148065;1517,1553;5,536682
3142,245656263724;1530,2438;5,5371284
3142,2479710467983;1514,566;5,5272746
3142,2502858299304;1514,6729;5,531893
3142,252600613004;1520,781;5,5435863
3142,254915396136;1528,1671;5,5380683
3142,25723017921;1518,7811;5,528406
3142,259544962284;1508,7693;5,5262666
3142,2618597453566;1527,162;5,536154
3142,264174528489;1512,0305;5,528361
3142,2664893115634;1515,6027;5,5303817
3142,268804094637;1509,004;5,519955
3142,2711188777103;1511,4816;5,5226727
3142,2734336607846;1514,1058;5,52513
3142,275748443859;1514,4135;5,527798
3142,2780632269323;1510,4424;5,522774
3142,2803780100057;1507,2386;5,52045
3142,28269279308;1526,2043;5,534028
3142,2850075761544;1518,5078;5,524884
3142,2873223591696;1511,6912;5,5236144
3142,289637142243;1514,7128;5,5217505
3142,2919519253173;1518,8218;5,5271816
3142,2942667083917;1524,3241;5,5323195
3142,296581491406;1518,8927;5,5283275
3142,29889627448;1513,9877;5,5279512
3142,3012110575537;1514,112;5,5296216
3142,30352584057;1513,5951;5,519776
3142,3058406236432;1519,6199;5,5318437
3142,308155406659;1523,6853;5,5305924
3142,3104701897328;1520,6139;5,5363097
3142,312784972749;1520,9717;5,534815
3142,315099755764;1512,2664;5,531481
3142,317414538838;1513,0543;5,525637
3142,3197293218536;1520,741;5,537458
3142,3220441048697;1520,0144;5,526498
3142,324358887885;1508,4109;5,528319
3142,3266736709;1515,7451;5,526376
3142,328988453974;1514,5742;5,5225306
3142,3313032369897;1507,2356;5,521577
3142,3336180200054;1521,8396;5,5291457
3142,335932803021;1523,3357;5,54552
3142,338247586037;1516,3479;5,522693
3142,340562369053;1519,1155;5,5326743
3142,34287715201;1515,653;5,527027
3142,3451919350255;1508,3324;5,52808
3142,3475067180416;1517,1831;5,5321054
3142,3498215010572;1515,0996;5,5320435
3142,3521362840725;1522,8329;5,5308404
3142,35445106703;1517,3953;5,527462
3142,356765850046;1512,3898;5,529363
3142,3590806330035;1522,5995;5,5289354
3142,3613954160182;1506,4178;5,521609
3142,3637101989752;1513,1666;5,52504
3142,3660249819914;1518,6995;5,5265155
3142,3683397649493;1511,0498;5,5247793
3142,3706545479645;1506,0677;5,541032
3142,3729693309215;1519,6322;5,5271583
3142,3752841138794;1516,7301;5,5281663
3142,3775988968955;1527,0006;5,531536
3142,3799136798525;1509,5653;5,545699
