time,flux,flux_err
1491.9281553358708,932.1976,1.0716757
1491.9489890203065,931.2409,1.0673044
1491.9698227057843,928.55023,1.0659146
1491.9906563923655,932.52014,1.0677644
1492.0114900800882,927.0422,1.0635575
1492.0323237689704,927.70703,1.0637022
1492.0531574590088,928.6026,1.0644823
1492.073991150182,929.84686,1.0646597
1492.0948248424436,929.2288,1.0646629
1492.1156585357292,928.6515,1.0652715
1492.136492229954,930.1721,1.0647362
1492.1573259250197,928.86066,1.0642077
1492.178159620807,927.34393,1.0643585
1492.1989933171872,929.08435,1.0648053
1492.2198270140166,929.0372,1.0662404
1492.2406607111448,928.8168,1.0650457
1492.261494408415,928.6373,1.0649657
1492.282328105666,929.0955,1.0654832
1492.3031618027348,928.8362,1.0647725
1492.3239954994613,931.3967,1.0670735
1492.3448291956913,930.78094,1.0653236
1492.4073302799593,931.461,1.0649666
1492.4281639728244,929.2446,1.065103
1492.44899766457,929.3436,1.0649807
1492.469831355118,927.22485,1.0641074
1492.4906650444102,927.4067,1.0629386
1492.5114987324096,928.7256,1.0636897
1492.5531661044793,927.2005,1.0630579
1492.5948334714415,926.6581,1.0629146
1492.6156671531346,926.51373,1.0643426
1492.657334513366,926.55634,1.0656477
1492.678168192125,931.22437,1.0646465
1492.6990018701485,928.71436,1.064154
1492.7198355475814,928.93384,1.0641078
1492.7406692245727,927.5763,1.0632039
1492.8031702544988,927.734,1.0635153
1492.824003931328,928.0024,1.0634212
1492.8448376085132,927.64166,1.062614
1492.9073386436323,927.9969,1.063541
1492.9281723236093,929.00824,1.064722
1492.9490060045587,929.72095,1.0638161
1492.969839686557,927.27203,1.0626762
1492.990673369661,929.02386,1.0629578
1493.0115070539084,928.6022,1.0631285
1493.032340739314,929.7989,1.0639216
1493.053174425873,927.61194,1.063869
1493.074008113558,930.8084,1.0643886
1493.0948418023224,927.27686,1.0640413
1493.1156754920985,929.3443,1.0631698
1493.157342874324,928.643,1.0629337
1493.1781765665528,929.54675,1.0618833
1493.199010259352,927.6103,1.0621924
1493.2198439525803,929.82623,1.0624095
1493.2406776460846,928.3512,1.0627472
1493.2615113397076,927.72864,1.0618373
1493.2823450332867,928.41077,1.0614074
1493.303178726661,928.51624,1.0623907
1493.3240124196705,928.4883,1.0617831
1493.3448461121598,930.3818,1.063025
1493.365679803982,929.0984,1.0628974
1493.3865134949995,929.78925,1.0620492
1493.4073471850882,928.37695,1.0616571
1493.428180874138,928.115,1.0617765
