time;flux;flux_err
3695,3005204235546;1207,1688;4,6872773
3695,301909334257;1197,161;4,692584
3695,3032982449595;1201,5756;4,6815176
3695,3046871556626;1203,6654;4,6848164
3695,306076066365;1207,2518;4,688336
3695,3074649771256;1199,2645;4,684015
3695,3088538878287;1202,9515;4,6802244
3695,310242798531;1205,6467;4,68831
3695,311631709233;1192,2241;4,6723166
3695,313020619936;1193,3274;4,6728926
3695,3144095306384;1205,2258;4,688619
3695,315798441341;1197,0929;4,679171
3695,317187352044;1212,8102;4,6952686
3695,318576262747;1206,3066;4,6878276
3695,319965173449;1201,3113;4,6806526
3695,3213540841516;1203,7805;4,6879683
3695,3227429948543;1197,4017;4,6805277
3695,3241319055555;1192,3618;4,673396
3695,3255208162586;1188,8114;4,6736975
3695,3269097269617;1204,0566;4,6853676
3695,3282986376057;1195,4066;4,678044
3695,329687548309;1197,2911;4,681334
3695,3310764590115;1208,0181;4,6884933
3695,332465369713;1199,953;4,6785045
3695,3338542804163;1207,282;4,6900363
3695,335243191061;1197,4081;4,680152
3695,3366321017625;1195,0625;4,6791463
3695,3380210124656;1196,667;4,680187
3695,3394099231105;1202,8658;4,6840754
3695,3407988338126;1197,7383;4,6821084
3695,3421877444575;1196,4907;4,677032
3695,34357665516;1192,7853;4,674292
3695,3449655658037;1195,4756;4,672682
3695,346354476507;1198,8396;4,682432
3695,34774338721;1205,7427;4,68982
3695,349132297853;1197,9843;4,6754236
3695,350521208498;1194,3441;4,6771216
3695,351910119201;1203,2684;4,6852303
3695,353299029845;1201,9636;4,6812086
3695,354687940548;1197,504;4,6772423
3695,3560768511925;1200,4532;4,6822987
3695,357465761836;1198,6779;4,677876
3695,358854672539;1200,6702;4,680361
3695,360243583184;1198,8898;4,6816783
3695,361632493827;1198,7952;4,681859
3695,363021404472;1201,7146;4,684112
3695,364410315175;1210,6022;4,694968
3695,365799225819;1199,7375;4,678616
3695,3671881364635;1201,3815;4,6802697
3695,368577047108;1202,0161;4,6838307
3695,369965957752;1200,6385;4,682528
3695,371354868396;1194,4966;4,672723
3695,372743779041;1203,8683;4,6811113
3695,3741326896848;1192,5294;4,684214
3695,375521600329;1205,1841;4,6842213
3695,376910510974;1198,7666;4,6882286
3695,378299421618;1192,0243;4,676655
3695,379688332262;1206,7067;4,69006
3695,381077242907;1202,6881;4,6885056
3695,3824661535514;1197,0732;4,672995
3695,3838550641954;1209,8209;4,6897535
3695,3852439748403;1205,9244;4,6909275
3695,3866328854842;1201,848;4,6831207
3695,3880217960705;1198,2384;4,681973
3695,3894107067154;1204,9043;4,6869874
3695,3907996173593;1193,4896;4,6723695
3695,3921885280033;1198,8391;4,6804857
3695,39357743859;1203,5593;4,684138
3695,3949663492344;1201,0917;4,694064
3695,3963552598784;1205,9834;4,6877785
3695,397744170465;1195,619;4,6835823
3695,399133081109;1196,2494;4,6752353
3695,4005219917535;1196,4357;4,677097
3695,4019109023398;1201,3713;4,6879454
