time;flux;flux_err
3718,1396616717075;964,22174;4,2776937
3718,141050570771;958,37024;4,271537
3718,142439469833;963,05225;4,2797647
3718,1438283688944;967,8675;4,2805934
3718,1452172679565;953,77496;4,266509
3718,1466061671363;959,4949;4,2753143
3718,1479950661983;960,6167;4,274982
3718,1493839652603;961,7936;4,2777805
3718,150772864439;961,9147;4,278335
3718,1521617635008;963,6912;4,279648
3718,1535506625632;960,1589;4,273699
3718,154939561742;955,48785;4,2715235
3718,156328460804;963,49896;4,281187
3718,157717359982;965,0375;4,281752
3718,159106259044;958,80725;4,2717686
3718,160495158224;964,89545;4,282283
3718,1618840574024;957,13574;4,276303
3718,163272956464;964,33325;4,2823
3718,1646618556424;975,6099;4,2937264
3718,1660507548218;965,70874;4,283198
3718,167439653884;961,95135;4,281161
3718,1688285530618;965,02795;4,285464
3718,1702174522406;961,4015;4,2738986
3718,1716063514195;962,376;4,2878094
3718,1729952505984;964,93695;4,280192
3718,1743841497764;961,2377;4,2774034
3718,1757730489544;958,4786;4,27556
3718,1771619481337;967,2448;4,280895
3718,178550847313;970,301;4,2913337
3718,179939746491;966,91504;4,2824836
3718,1813286456695;960,3512;4,27384
3718,182717544849;957,4833;4,2746105
3718,1841064441437;961,9337;4,2798834
3718,1854953433217;965,9116;4,28308
3718,1868842425;966,77594;4,287972
3718,18827314168;957,83215;4,2759547
3718,189662040975;966,1073;4,2847695
3718,1910509401528;965,9933;4,2814426
3718,192439839331;959,0971;4,2762213
3718,1938287386274;960,8417;4,2753177
3718,195217637806;970,4615;4,287564
3718,1966065371;968,83014;4,286923
3718,197995436395;965,7854;4,282768
3718,1993843355735;962,9944;4,278887
3718,2007732348684;958,3697;4,2776065
3718,2021621340473;974,9227;4,29094
3718,2035510333426;971,91113;4,293008
3718,2049399326374;963,15314;4,278147
3718,2063288319323;960,8135;4,2726355
3718,207717731111;965,53296;4,2843657
3718,2091066304065;963,6876;4,283135
3718,2104955297013;962,9332;4,2743874
3718,211884428996;963,3926;4,281078
3718,213273328292;975,52734;4,298973
3718,214662227587;956,7363;4,275841
3718,216051126881;963,4873;4,2750587
3718,2174400261765;959,6682;4,2688675
3718,218828925472;964,78674;4,281297
3718,220217824767;963,0484;4,2771215
3718,221606724178;966,4524;4,284218
3718,2229956234723;966,2955;4,2809443
3718,224384522768;974,68616;4,2913237
3718,225773422064;962,1162;4,2866025
3718,2271623214747;955,7568;4,266535
3718,2285512207686;959,64813;4,2717514
3718,2299401200644;965,7766;4,2815523
3718,2313290194766;965,4713;4,2836657
3718,232717918771;963,6532;4,2771673
3718,2341068181818;966,91296;4,2809553
3718,2354957174775;966,63763;4,2793083
3718,2368846168897;958,2582;4,2692833
3718,2382735163005;966,4612;4,278412
3718,239662415595;959,0711;4,2700744
3718,241051315007;965,23944;4,2794466
3718,2424402144193;971,9796;4,2912364
3718,243829113713;962,3144;4,2702327
3718,245218013125;967,0989;4,2853904
3718,246606912536;963,9114;4,2792244
3718,2479958119475;963,4772;4,279369
3718,249384711359;965,6592;4,285466
3718,250773610771;963,74713;4,2852216
3718,252162510182;959,44116;4,2700872
3718,2535514095935;965,5077;4,2805815
3718,254940309005;963,6998;4,2791996
3718,256329208417;971,5157;4,288162
3718,257718107828;966,38074;4,283947
3718,2591070072394;962,1221;4,2823186
3718,260495906767;966,0142;4,284651
3718,2618848061784;961,42175;4,2737346
3718,26327370559;959,2053;4,2756557
3718,264662605002;968,3305;4,2911725
3718,2660515045295;963,575;4,2796917
3718,267440403941;963,18884;4,2799964
3718,268829303469;962,204;4,2810607
3718,2702182028797;959,67303;4,27813
3718,271607102408;960,06055;4,2847986
3718,2729960018196;962,03406;4,280311
3718,2743849013477;964,73;4,281946
3718,2757738008745;961,737;4,2829466
3718,2771627002858;958,6559;4,2838273
3718,278551599815;959,2195;4,278399
3718,2799404993425;965,1761;4,2875614
3718,2813293987533;965,72156;4,2882705
3718,282718298282;966,7143;4,286098
3718,2841071978105;962,47845;4,2799563
3718,2854960973377;962,32196;4,2820244
3718,286884996865;953,8312;4,271741
3718,2882738963935;968,6281;4,2949347
3718,2896627959217;963,0855;4,279713
3718,291051695449;965,9743;4,287588
3718,292440594976;962,56824;4,282259
3718,2938294945043;963,0345;4,281106
3718,2952183940324;958,9209;4,278456
3718,2966072935606;958,76324;4,2759085
3718,297996193204;964,2736;4,2817836
3718,2993850927323;969,23517;4,28707
3718,3007739922605;962,9589;4,2796454
3718,302162891905;971,2992;4,2865753
3718,3035517914323;960,84503;4,275416
3718,30494069096;960,9104;4,2768474
3718,306329590605;959,1039;4,275328
3718,3077184901326;959,8604;4,2875123
