time;flux;flux_err
3747,160597510169;1260,5991;5,0595455
3747,1619863973556;1259,6969;5,0475836
3747,1633752845423;1258,8389;5,051515
3747,1647641717295;1258,1055;5,050355
3747,1661530589167;1260,4866;5,052344
3747,167541946103;1256,3752;5,052274
3747,1689308332902;1259,1836;5,046475
3747,1703197204765;1255,8615;5,0477905
3747,171708607663;1260,3219;5,052415
3747,173097494849;1259,0995;5,0530806
3747,174486382036;1263,3777;5,051329
3747,1758752693395;1252,8782;5,04291
3747,1772641565267;1261,2605;5,0612726
3747,178653043714;1264,0126;5,050229
3747,1800419309006;1261,7135;5,0458884
3747,1814308182034;1259,0768;5,045576
3747,1828197053896;1251,8296;5,039169
3747,1842085926924;1264,5594;5,0482125
3747,1855974798787;1260,4303;5,044007
3747,186986367066;1254,4664;5,0448923
3747,1883752543695;1262,4674;5,0499215
3747,189764141556;1260,2217;5,048622
3747,19115302886;1263,3878;5,045777
3747,192541916163;1257,3181;5,0410047
3747,1939308033493;1263,403;5,049018
3747,195319690652;1270,4327;5,0514216
3747,1967085779547;1262,8389;5,046276
3747,1980974652583;1252,7598;5,039817
3747,1994863524455;1254,6316;5,0411053
3747,2008752397483;1259,0309;5,042203
3747,2022641270514;1250,7551;5,034398
3747,203653014355;1255,6765;5,033921
3747,2050419016578;1258,1853;5,0415034
3747,2064307889605;1272,5695;5,060878
3747,2078196762636;1258,6023;5,040817
3747,2092085635672;1256,0004;5,038664
3747,210597450871;1264,4108;5,045533
3747,2119863381736;1265,0111;5,0460873
3747,213375225477;1268,0416;5,049842
3747,2147641128963;1260,961;5,0377803
3747,2161530001995;1263,3591;5,0482593
3747,217541887502;1264,1438;5,0423822
3747,218930774805;1268,1626;5,0450354
3747,220319662225;1252,149;5,0331492
3747,2217085495286;1265,5599;5,0435686
3747,2230974368317;1260,6588;5,039919
3747,224486324251;1263,4973;5,0391407
3747,225875211671;1267,3156;5,041213
3747,2272640989736;1265,937;5,040264
3747,2286529863927;1264,8912;5,0448604
3747,2300418736954;1262,4088;5,042065
3747,2314307611155;1254,8822;5,025765
3747,232819648419;1261,7823;5,037668
3747,2342085358387;1270,0759;5,0482364
3747,2355974232582;1268,3114;5,0446105
3747,2369863106774;1267,5889;5,050111
3747,238375197981;1269,2288;5,047088
3747,2397640854;1263,6157;5,0428534
3747,2411529728192;1263,0555;5,0364704
3747,2425418602393;1262,863;5,037791
3747,2439307476593;1262,6886;5,041302
3747,2453196350784;1258,9492;5,034963
3747,246708522498;1264,7087;5,0433707
3747,248097409918;1264,074;5,0357733
3747,2494862973376;1264,7996;5,0364375
3747,2508751847568;1260,1357;5,040126
3747,252264072176;1275,0173;5,0487647
3747,2536529597123;1264,4971;5,0391507
3747,2550418471324;1259,5912;5,035407
3747,2564307345515;1266,5026;5,046841
3747,2578196219706;1261,9363;5,0357795
3747,2592085095066;1258,936;5,0353184
3747,2605973969266;1265,8914;5,0391245
3747,2619862844626;1268,206;5,0445075
3747,2633751718818;1257,7023;5,035489
3747,264764059302;1267,1031;5,043324
3747,266152946838;1257,6077;5,0300746
3747,267541834374;1268,0807;5,0435143
3747,268930721793;1274,941;5,0433993
3747,2703196093285;1260,992;5,0380263
3747,271708496748;1251,3567;5,0321474
3747,2730973842845;1259,9633;5,035733
3747,2744862718205;1261,0446;5,035628
3747,275875159357;1257,6017;5,0301347
3747,2772640467765;1265,2042;5,036087
3747,278652934312;1267,2716;5,0389585
3747,280041821848;1262,7404;5,031066
3747,2814307093836;1259,2201;5,030349
3747,28281959692;1251,0358;5,0234494
3747,2842084844556;1261,1705;5,025629
3747,2855973719916;1255,6746;5,032494
3747,286986259528;1265,2189;5,0332437
3747,288375147064;1252,1254;5,0213723
3747,2897640345996;1253,3438;5,032604
3747,2911529221356;1255,4891;5,0290213
3747,2925418096715;1259,8615;5,0245566
3747,2939306973235;1265,1971;5,040839
3747,29531958486;1261,3584;5,0342846
3747,2967084723955;1259,5375;5,0233965
3747,2980973599315;1261,2684;5,0272884
3747,299486247584;1256,2316;5,0280843
3747,3008751351204;1265,1528;5,040798
3747,3022640227723;1263,5864;5,0285206
3747,3036529103083;1257,0182;5,0216637
3747,3050417979607;1262,2966;5,0250316
