400,42,41,43,41,47,41,44,41,41,40,43,40,44,41,40,40,9,10,9,10,9,10,9,10,10,10,9,10,9,10,10,10
800,88,81,93,84,92,85,85,80,80,79,77,77,95,82,82,81,9,10,9,10,9,9,9,10,10,10,10,10,8,10,10,10
1200,133,124,142,127,134,128,124,121,121,124,111,112,143,125,126,125,9,10,8,9,9,9,10,10,10,10,11,11,8,10,9,10
1600,175,165,187,169,174,170,166,162,163,169,151,146,190,168,170,167,9,10,9,9,9,9,10,10,10,9,11,11,8,10,9,10
2000,216,203,233,211,215,211,206,203,205,214,196,179,234,210,214,210,9,10,9,9,9,9,10,10,10,9,10,11,9,10,9,10
2400,256,242,279,254,256,253,247,243,247,257,242,212,277,253,259,255,9,10,9,9,9,9,10,10,10,9,10,11,9,9,9,9
2800,294,279,326,295,299,294,289,284,290,299,287,245,318,295,302,299,10,10,9,9,9,10,10,10,10,9,10,11,9,9,9,9
3200,330,318,373,337,343,332,333,327,334,339,331,279,357,337,346,343,10,10,9,10,9,10,10,10,10,9,10,11,9,9,9,9
3600,367,357,421,376,388,369,377,370,379,378,375,313,395,379,391,389,10,10,9,10,9,10,10,10,9,10,10,12,9,9,9,9
4000,402,395,469,413,435,404,421,411,425,418,419,347,430,419,434,433,10,10,9,10,9,10,10,10,9,10,10,12,9,10,9,9
