time,flux,flux_err
2.458400000000000000e+06,1.003098317986591548e+00,4.000000000000000083e-03
2.458400115740740672e+06,9.990510159562286940e-01,4.000000000000000083e-03
2.458400231481481344e+06,9.869469341683199115e-01,4.000000000000000083e-03
2.458400347222222015e+06,9.905811218239406468e-01,4.000000000000000083e-03
2.458400462962963153e+06,9.999887030330101290e-01,4.000000000000000083e-03
2.458400578703703824e+06,9.997178319477738606e-01,4.000000000000000083e-03
2.458400694444444496e+06,9.954803116595780654e-01,4.000000000000000083e-03
2.458400810185185168e+06,1.004385614604802024e+00,4.000000000000000083e-03
2.458400925925925840e+06,9.982428791773956256e-01,4.000000000000000083e-03
2.458401041666666511e+06,1.002043077259258341e+00,4.000000000000000083e-03
2.458401157407407183e+06,9.974133731143132175e-01,4.000000000000000083e-03
2.458401273148148321e+06,9.980466177424931473e-01,4.000000000000000083e-03
2.458401388888888992e+06,1.002323886528027508e+00,4.000000000000000083e-03
2.458401504629629664e+06,1.001698839950762254e+00,4.000000000000000083e-03
2.458401620370370336e+06,9.948449918892352528e-01,4.000000000000000083e-03
2.458401736111111008e+06,9.989206181583485389e-01,4.000000000000000083e-03
2.458401851851851679e+06,1.000573168958347248e+00,4.000000000000000083e-03
2.458401967592592817e+06,1.000156777582268175e+00,4.000000000000000083e-03
2.458402083333333489e+06,9.998480016090858236e-01,4.000000000000000083e-03
2.458402199074074160e+06,9.916812093833289321e-01,4.000000000000000083e-03
2.458402314814814832e+06,1.003046426217813369e+00,4.000000000000000083e-03
2.458402430555555504e+06,9.997042433158380703e-01,4.000000000000000083e-03
2.458402546296296176e+06,1.000154201608718152e+00,4.000000000000000083e-03
2.458402662037036847e+06,1.001227807880951337e+00,4.000000000000000083e-03
2.458402777777777985e+06,9.959804286150060193e-01,4.000000000000000083e-03
2.458402893518518656e+06,9.944856881927843784e-01,4.000000000000000083e-03
2.458403009259259328e+06,9.929952432254942618e-01,4.000000000000000083e-03
2.458403125000000000e+06,1.000614764331164253e+00,4.000000000000000083e-03
2.458403240740740672e+06,1.002112831005071536e+00,4.000000000000000083e-03
2.458403356481481344e+06,1.002468994793670909e+00,4.000000000000000083e-03
2.458403472222222015e+06,9.975543189777482667e-01,4.000000000000000083e-03
2.458403587962963153e+06,9.952666683036921480e-01,4.000000000000000083e-03
2.458403703703703824e+06,9.922102596350986792e-01,4.000000000000000083e-03
2.458403819444444496e+06,1.003347453091726793e+00,4.000000000000000083e-03
2.458403935185185168e+06,1.004954086316225847e+00,4.000000000000000083e-03
2.458404050925925840e+06,9.923545227403416380e-01,4.000000000000000083e-03
2.458404166666666511e+06,1.000397885235545292e+00,4.000000000000000083e-03
2.458404282407407183e+06,9.998296233630488139e-01,4.000000000000000083e-03
2.458404398148148321e+06,1.005854609057728055e+00,4.000000000000000083e-03
2.458404513888888992e+06,1.007284375527949694e+00,4.000000000000000083e-03
2.458404629629629664e+06,1.002151724263067090e+00,4.000000000000000083e-03
2.458404745370370336e+06,9.938709573609940673e-01,4.000000000000000083e-03
2.458404861111111008e+06,1.000311464423162544e+00,4.000000000000000083e-03
2.458404976851851679e+06,9.978800445936474306e-01,4.000000000000000083e-03
2.458405092592592817e+06,9.970412602690791326e-01,4.000000000000000083e-03
2.458405208333333489e+06,1.004808966555505112e+00,4.000000000000000083e-03
2.458405324074074160e+06,1.006218196701731848e+00,4.000000000000000083e-03
2.458405439814814832e+06,1.001512168346627707e+00,4.000000000000000083e-03
2.458405555555555504e+06,1.001484590775915562e+00,4.000000000000000083e-03
2.458405671296296176e+06,9.920893664194962991e-01,4.000000000000000083e-03
2.458405787037036847e+06,1.007950551624149371e+00,4.000000000000000083e-03
2.458405902777777985e+06,1.005366525651881116e+00,4.000000000000000083e-03
2.458406018518518656e+06,1.001205945974537270e+00,4.000000000000000083e-03
2.458406134259259328e+06,1.001547381713623563e+00,4.000000000000000083e-03
2.458406250000000000e+06,9.967348813444537603e-01,4.000000000000000083e-03
2.458406365740740672e+06,9.925748720563932759e-01,4.000000000000000083e-03
2.458406481481481344e+06,9.944828131713291386e-01,4.000000000000000083e-03
2.458406597222222015e+06,9.972675392856077403e-01,4.000000000000000083e-03
2.458406712962963153e+06,1.000743513126775008e+00,4.000000000000000083e-03
2.458406828703703824e+06,1.000735651108749069e+00,4.000000000000000083e-03
2.458406944444444496e+06,1.002251690703616083e+00,4.000000000000000083e-03
2.458407060185185168e+06,9.981837348689648337e-01,4.000000000000000083e-03
2.458407175925925840e+06,9.962734635427410446e-01,4.000000000000000083e-03
2.458407291666666511e+06,1.003154128529299749e+00,4.000000000000000083e-03
2.458407407407407183e+06,9.908013016767370784e-01,4.000000000000000083e-03
2.458407523148148321e+06,1.000141036286255503e+00,4.000000000000000083e-03
2.458407638888888992e+06,9.979742877686560432e-01,4.000000000000000083e-03
2.458407754629629664e+06,9.993487753263718965e-01,4.000000000000000083e-03
2.458407870370370336e+06,9.943941876898150234e-01,4.000000000000000083e-03
