tts1_TOI4504c,tts60_TOI4504c,tts600_TOI4504c,tts6000_TOI4504c,tts10000_TOI4504c,tts20000_TOI4504c
2458400.2786392323,2458400.2786391363,2458400.278639158,2458400.2786395946,2458400.278640566,2458400.27864454
2458482.763502152,2458482.7635020786,2458482.763502227,2458482.763502399,2458482.7635031054,2458482.7635057545
2458565.4078310365,2458565.407831065,2458565.407831086,2458565.407831205,2458565.4078312493,2458565.4078321327
2458648.247818016,2458648.247818078,2458648.2478180993,2458648.2478179536,2458648.2478176,2458648.2478164965
2458731.310157064,2458731.310157013,2458731.310157034,2458731.31015665,2458731.310155767,2458731.3101524557
2458814.60763699,2458814.6076369393,2458814.6076368755,2458814.6076362003,2458814.6076349197,2458814.60762918
2458898.1210844363,2458898.12108451,2458898.1210845313,2458898.121083511,2458898.12108201,2458898.1210742835
2458981.7499905056,2458981.749990421,2458981.7499905694,2458981.7499895226,2458981.7499879333,2458981.749979986
2459065.267896864,2459065.267896949,2459065.2678969703,2459065.2678961884,2459065.2678949963,2459065.2678896985
2459148.41004928,2459148.4100493537,2459148.4100493323,2459148.410049213,2459148.410049081,2459148.4100484187
2459231.071046459,2459231.0710465326,2459231.071046511,2459231.0710470546,2459231.071047761,2459231.071051955
2459313.349262243,2459313.3492622375,2459313.3492623437,2459313.349263072,2459313.349264529,2459313.349271593
2459395.4272098346,2459395.427209727,2459395.427209748,2459395.4272107948,2459395.42721234,2459395.4272202873
2459477.4931111652,2459477.49311125,2459477.4931111867,2459477.493112021,2459477.4931136104,2459477.493120454
2459559.7248159903,2459559.7248161314,2459559.7248161105,2459559.7248165477,2459559.724817342,2459559.724821316
2459642.2804500326,2459642.280450016,2459642.280450079,2459642.2804499334,2459642.280449801,2459642.2804493597
2459725.2702114983,2459725.2702113683,2459725.2702114317,2459725.2702107034,2459725.2702095993,2459725.270203639
2459808.6975662797,2459808.697566308,2459808.6975662443,2459808.6975650657,2459808.697562858,2459808.697552703
2459892.402727955,2459892.4027278475,2459892.402727869,2459892.402726478,2459892.402723873,2459892.402711952
2459976.108822067,2459976.1088220384,2459976.108821975,2459976.1088207695,2459976.1088186945,2459976.1088083186
2460059.5699673574,2460059.569967397,2460059.569967376,2460059.569966594,2460059.5699653584,2460059.5699587353
2460142.666347385,2460142.6663475037,2460142.6663473975,2460142.6663472257,2460142.666346828,2460142.6663446208
2460225.3889714447,2460225.388971371,2460225.388971435,2460225.3889716333,2460225.3889720747,2460225.388973841
2460307.7923498084,2460307.792349837,2460307.7923498154,2460307.792350385,2460307.7923515327,2460307.7923563896
2460389.96324915,2460389.9632492913,2460389.9632493127,2460389.9632499614,2460389.9632514627,2460389.9632580853
2460472.005321452,2460472.0053215027,2460472.0053213965,2460472.0053223106,2460472.0053239,2460472.005331185
2460554.034300763,2460554.0343008256,2460554.034300804,2460554.0343016386,2460554.034302963,2460554.034309807
2460636.1815148476,2460636.18151474,2460636.181514846,2460636.181515389,2460636.181516228,2460636.181520864
2460718.5949612088,2460718.594961124,2460718.5949612726,2460718.594961365,2460718.594961586,2460718.5949626896
