tts1_TOI4504d;tts60_TOI4504d;tts600_TOI4504d;tts6000_TOI4504d;tts10000_TOI4504d;tts20000_TOI4504d
2458403,68718651;2458403,68718660;2458403,68718645;2458403,68718670;2458403,68718693;2458403,68718803
2458444,66829255;2458444,66829249;2458444,66829247;2458444,66829280;2458444,66829333;2458444,66829554
2458485,71460494;2458485,71460495;2458485,71460501;2458485,71460545;2458485,71460611;2458485,71460964
2458526,56903257;2458526,56903271;2458526,56903256;2458526,56903327;2458526,56903432;2458526,56903918
2458567,46486608;2458567,46486604;2458567,46486611;2458567,46486684;2458567,46486834;2458567,46487474
2458608,16845821;2458608,16845830;2458608,16845820;2458608,16845927;2458608,16846104;2458608,16846920
2458648,87408357;2458648,87408354;2458648,87408352;2458648,87408475;2458648,87408691;2458648,87409707
2458689,41756465;2458689,41756465;2458689,41756471;2458689,41756613;2458689,41756851;2458689,41758021
2458729,90845260;2458729,90845261;2458729,90845267;2458729,90845435;2458729,90845718;2458729,90847109
2458770,30103434;2458770,30103429;2458770,30103440;2458770,30103611;2458770,30103946;2458770,30105469
2458810,57877704;2458810,57877697;2458810,57877700;2458810,57877905;2458810,57878280;2458810,57880002
2458850,85470947;2458850,85470946;2458850,85470952;2458850,85471160;2458850,85471548;2458850,85473381
2458890,97104085;2458890,97104094;2458890,97104083;2458890,97104318;2458890,97104724;2458890,97106666
2458931,20344193;2458931,20344196;2458931,20344194;2458931,20344420;2458931,20344844;2458931,20346765
2458971,29273013;2458971,29273012;2458971,29273023;2458971,29273236;2458971,29273646;2458971,29275501
2459011,60889784;2459011,60889782;2459011,60889784;2459011,60889990;2459011,60890361;2459011,60892060
2459051,89361464;2459051,89361462;2459051,89361477;2459051,89361632;2459051,89361937;2459051,89363327
2459092,45818766;2459092,45818778;2459092,45818785;2459092,45818900;2459092,45819129;2459092,45820211
2459133,15865026;2459133,15865029;2459133,15865040;2459133,15865113;2459133,15865232;2459133,15865828
2459174,09389531;2459174,09389521;2459174,09389528;2459174,09389542;2459174,09389582;2459174,09389781
2459215,26804009;2459215,26804004;2459215,26804002;2459215,26803977;2459215,26803937;2459215,26803694
2459256,56758997;2459256,56759008;2459256,56758997;2459256,56758938;2459256,56758823;2459256,56758293
2459298,08607973;2459298,08607966;2459298,08607960;2459298,08607876;2459298,08607709;2459298,08606936
2459339,62116871;2459339,62116877;2459339,62116867;2459339,62116765;2459339,62116584;2459339,62115679
2459381,28928973;2459381,28928977;2459381,28928958;2459381,28928853;2459381,28928664;2459381,28927714
2459422,87417399;2459422,87417391;2459422,87417401;2459422,87417286;2459422,87417109;2459422,87416248
2459464,51435773;2459464,51435776;2459464,51435778;2459464,51435692;2459464,51435520;2459464,51434791
2459505,96615135;2459505,96615134;2459505,96615145;2459505,96615083;2459505,96614977;2459505,96614513
2459547,43563540;2459547,43563546;2459547,43563557;2459547,43563526;2459547,43563478;2459547,43563279
2459588,61458053;2459588,61458054;2459588,61458047;2459588,61458070;2459588,61458114;2459588,61458291
2459629,80711381;2459629,80711390;2459629,80711375;2459629,80711440;2459629,80711559;2459629,80712089
2459670,64325096;2459670,64325095;2459670,64325089;2459670,64325207;2459670,64325401;2459670,64326350
2459711,49845332;2459711,49845335;2459711,49845325;2459711,49845488;2459711,49845775;2459711,49847121
2459752,01367160;2459752,01367162;2459752,01367177;2459752,01367372;2459752,01367725;2459752,01369403
2459792,54662390;2459792,54662382;2459792,54662397;2459792,54662626;2459792,54663046;2459792,54665055
2459832,85443839;2459832,85443836;2459832,85443846;2459832,85444094;2459832,85444567;2459832,85446708
2459873,18155807;2459873,18155797;2459873,18155808;2459873,18156077;2459873,18156571;2459873,18158845
2459913,44309145;2459913,44309158;2459913,44309160;2459913,44309429;2459913,44309902;2459913,44312153
2459953,74686496;2459953,74686508;2459953,74686506;2459953,74686764;2459953,74687215;2459953,74689378
2459994,11014983;2459994,11014989;2459994,11014991;2459994,11015226;2459994,11015654;2459994,11017619
2460034,55783140;2460034,55783140;2460034,55783155;2460034,55783347;2460034,55783714;2460034,55785458
2460075,12589328;2460075,12589323;2460075,12589317;2460075,12589488;2460075,12589792;2460075,12591249
2460115,81778546;2460115,81778539;2460115,81778537;2460115,81778679;2460115,81778935;2460115,81780061
2460156,64853018;2460156,64853032;2460156,64853022;2460156,64853129;2460156,64853288;2460156,64854105
2460197,61648591;2460197,61648602;2460197,61648591;2460197,61648662;2460197,61648763;2460197,61649271
2460238,72899622;2460238,72899619;2460238,72899617;2460238,72899645;2460238,72899689;2460238,72899866
2460279,95609999;2460279,95610004;2460279,95609993;2460279,95609992;2460279,95609983;2460279,95609917
2460321,33373906;2460321,33373913;2460321,33373907;2460321,33373863;2460321,33373784;2460321,33373453
2460362,77275798;2460362,77275789;2460362,77275795;2460362,77275728;2460362,77275626;2460362,77275096
2460404,36269341;2460404,36269336;2460404,36269326;2460404,36269250;2460404,36269100;2460404,36268394
2460445,94593289;2460445,94593294;2460445,94593292;2460445,94593187;2460445,94593015;2460445,94592220
2460487,65738146;2460487,65738144;2460487,65738159;2460487,65738044;2460487,65737867;2460487,65737006
2460529,29615171;2460529,29615165;2460529,29615180;2460529,29615067;2460529,29614882;2460529,29614043
2460570,99991998;2460570,99991989;2460570,99991979;2460570,99991898;2460570,99991739;2460570,99990988
2460612,57531422;2460612,57531408;2460612,57531410;2460612,57531345;2460612,57531212;2460612,57530616
2460654,11734149;2460654,11734153;2460654,11734147;2460654,11734111;2460654,11734040;2460654,11733687
2460695,47743499;2460695,47743505;2460695,47743511;2460695,47743499;2460695,47743477;2460695,47743455
2460736,72113109;2460736,72113096;2460736,72113111;2460736,72113134;2460736,72113209;2460736,72113496
2460777,71882731;2460777,71882723;2460777,71882725;2460777,71882819;2460777,71882978;2460777,71883684
2460818,60644179;2460818,60644167;2460818,60644182;2460818,60644294;2460818,60644519;2460818,60645579
2460859,19325729;2460859,19325740;2460859,19325733;2460859,19325901;2460859,19326202;2460859,19327637
2460899,77255091;2460899,77255088;2460899,77255090;2460899,77255298;2460899,77255651;2460899,77257307
