400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1200,nan,nan,nan,nan,139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1600,nan,nan,nan,nan,nan,nan,185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,nan,nan,nan
2000,nan,nan,nan,nan,235,nan,232,nan,nan,nan,nan,nan,229,nan,219,nan,nan,nan,nan,9,nan,9,nan,nan,nan,nan,nan,9,nan,9
2400,274,254,282,nan,283,280,277,nan,nan,259,292,268,nan,nan,nan,9,9,9,nan,8,9,9,nan,nan,9,8,9,nan,nan,nan
2800,321,296,330,305,333,325,322,327,332,301,343,314,320,306,309,9,9,8,9,8,9,9,9,8,9,8,9,9,9,9
3200,369,337,380,348,382,370,367,373,381,343,394,358,363,353,357,9,9,8,9,8,9,9,9,8,9,8,9,9,9,9
3600,416,379,428,390,432,415,411,418,431,385,444,403,405,400,405,9,10,8,9,8,9,9,9,8,9,8,9,9,9,9
4000,462,420,477,430,482,460,455,461,483,428,496,445,448,447,451,9,10,8,9,8,9,9,9,8,9,8,9,9,9,9
4400,507,459,526,470,534,504,498,505,535,471,547,487,490,494,498,9,10,8,9,8,9,9,9,8,9,8,9,9,9,9
